n_or_p,gene_name_raw,cyanorak_id,resolution_status,n_strains_with_evidence
N,amtB/amt1,CK_00000244,resolved_by_name,5
N,cynA,CK_00002165,resolved_by_name,1
N,cynB,CK_00002166,resolved_by_name,1
N,cynD,CK_00000003,resolved_by_name,1
N,cynS,CK_00001552,resolved_by_name,2
N,focA,CK_00001669,resolved_by_name,2
N,nadB,CK_00000196,resolved_by_name,5
N,nadB2,CK_00056735,resolved_by_name,1
N,nirA,CK_00001355,resolved_by_name,2
N,thiO, CK_00000417,resolved_by_name,5
N,ureA,CK_00001360,resolved_by_name,4
N,ureB,CK_00001359,resolved_by_name,5
N,ureC,CK_00001358,resolved_by_name,4
N,ureD,CK_00001361,resolved_by_name,5
N,ureE,CK_00001362,resolved_by_name,5
N,ureF,CK_00001363,resolved_by_name,4
N,ureG,CK_00001364,resolved_by_name,4
N,ntcA,CK_00000468,resolved_by_name,5
N,pipX,CK_00001044,resolved_by_name,6
N,glnA,CK_00000103,resolved_by_name,5
N,glsF,CK_00000134,resolved_by_name,5
N,urtA,CK_00008074,resolved_by_name,5
N,urtC,CK_00001366,resolved_by_name,5
N,urtD,CK_00001367,resolved_by_name,5
N,urtE,CK_00008074,resolved_by_name,4
N,gdhA,CK_00003700,resolved_by_name,1
N,natF,CK_00001489,resolved_by_name,2
N,natG,CK_00001624,resolved_by_name,2
N,natH,CK_00001488,resolved_by_name,2
P,phoA,CK_00003430,resolved_via_ontology_filtered,3
P,PMM707,CK_00003429,resolved_by_name,1
P,PMM721,CK_00003437,resolved_by_name,1
P,acr3/arsB,CK_00001815,resolved_by_name,2
P,arsR,CK_00001532,resolved_by_name,3
P,chrA,CK_00002826,resolved_by_name,3
P,gap3,CK_00008093,resolved_by_name,5
P,phoB,CK_00008015,resolved_by_name,4
P,phoR,CK_00001531,resolved_by_name,3
P,ptrA,CK_00056804,resolved_by_name,1
P,PMM719,CK_00044628,resolved_by_name,1
P,PMM722,CK_00054292,resolved_by_name,1
P,phnD,CK_00000860,resolved_by_name,7
P,ppA,CK_00000642,resolved_by_name,5
P,ppK,CK_00000383,resolved_by_name,5
P,ppX,CK_00000620,resolved_by_name,6
P,pstA,CK_00000165,resolved_by_name,6
P,pstB,CK_00000817,resolved_by_name,6
P,pstC,CK_00000818,resolved_by_name,5
P,pstS,CK_00043821,resolved_by_name,7
P,sqdB,CK_00000123,resolved_by_name,6
P,phnC,CK_00008048,resolved_by_name,4
P,phnE,CK_00000861,resolved_by_name,4
P,ptxB/phnD2,CK_00006203,resolved_by_name,1
P,PsiP1,CK_00002662,resolved_by_name,1
