organism_name,locus_tag,gene_name,product,gene_category
Prochlorococcus MED4,PMM0014,dusA,tRNA dihydrouridine synthase,Translation
Prochlorococcus MED4,PMM0018,sirA,TusA-like domain-containing protein,Stress response and adaptation
Prochlorococcus MED4,PMM0033,,"conserved membrane protein, ArbrB family",Unknown
Prochlorococcus MED4,PMM0055,,"uncharacterized conserved inner membrane protein, YqjD/ElaB family",Unknown
Prochlorococcus MED4,PMM0063,ycf66,uncharacterized conserved hypothetical protein Ycf66,Transcription
Prochlorococcus MED4,PMM0089,,"ABC transport system ATP-binding/permease protein, Uup family",Transport
Prochlorococcus MED4,PMM0094,,uncharacterized conserved membrane protein,Stress response and adaptation
Prochlorococcus MED4,PMM0119,,conserved hypothetical protein,Unknown
Prochlorococcus MED4,PMM0129,holB,"DNA polymerase III, delta^ subunit",Replication and repair
Prochlorococcus MED4,PMM0175,menC,O-succinylbenzoate synthase,Coenzyme metabolism
Prochlorococcus MED4,PMM0203,rplA,50S ribosomal protein L1,Translation
Prochlorococcus MED4,PMM0239,,conserved hypothetical protein,Unknown
Prochlorococcus MED4,PMM0260,,conserved hypothetical protein,Unknown
Prochlorococcus MED4,PMM0295,rub,rubredoxin,Carbohydrate metabolism
Prochlorococcus MED4,PMM0307,unk6,conserved hypothetical protein,Unknown
Prochlorococcus MED4,PMM0313,nrdR,"transcriptional regulator, NrdR family",Regulatory functions
Prochlorococcus MED4,PMM0315,psbB,photosystem II chlorophyll-binding protein CP47,Photosynthesis
Prochlorococcus MED4,PMM0317,psbM,photosystem II reaction center protein PsbM,Photosynthesis
Prochlorococcus MED4,PMM0360,,conserved hypothetical protein DUF985,Unknown
Prochlorococcus MED4,PMM0384,spnII1interrupted1C,Putative Type IIC bifunctional restriction-modification protein with endonuclease and N6-adenine DNA methyltransferase activity,Replication and repair
Prochlorococcus MED4,PMM0441,,aldo/keto reductase family protein,Unknown
Prochlorococcus MED4,PMM0446,ctaCI,cytochrome c oxidase subunit II,Carbohydrate metabolism
Prochlorococcus MED4,PMM0458,,transcriptional regulator with a Cro/C1-type helix-turn-helix domain,Regulatory functions
Prochlorococcus MED4,PMM0489,futB,"ABC-type Fe3+ transport system, membrane component",Stress response and adaptation
Prochlorococcus MED4,PMM0504,cutA,periplasmic divalent cation tolerance protein,Cellular processes
Prochlorococcus MED4,PMM0529,,conserved hypothetical protein,Unknown
Prochlorococcus MED4,PMM0533,aar,long-chain fatty acyl-ACP reductase,Lipid metabolism
Prochlorococcus MED4,PMM0563,,"beta-glycosyltransferase, family 2",Cell wall and membrane
Prochlorococcus MED4,PMM0574,,YCII-like domain-containing protein,Unknown
Prochlorococcus MED4,PMM0586,,uncharacterized conserved secreted protein,Unknown
Prochlorococcus MED4,PMM0627,pcb,"divinyl-chlorophyll a/b binding light harvesting protein, photosystem II-associated",Stress response and adaptation
Prochlorococcus MED4,PMM0631,,bacteriophage-like membrane-associated DNA-binding domain-containing protein,Mobile elements
Prochlorococcus MED4,PMM0635,mscS,"small-conductance mechanosensitive ion channel, MscS family",Transport
Prochlorococcus MED4,PMM0646,cbiX,sirohydrochlorin cobaltochelatase,Coenzyme metabolism
Prochlorococcus MED4,PMM0659,,"NAD-dependent DNA ligase, N-terminal domain",Replication and repair
Prochlorococcus MED4,PMM0675,,uracil-DNA glycosylase,Replication and repair
Prochlorococcus MED4,PMM0681,,"protein arginine methyltransferase, NDUFAF7 superfamily",Unknown
Prochlorococcus MED4,PMM0684,,conserved hypothetical protein (DUF1651),Unknown
Prochlorococcus MED4,PMM0698,,conserved hypothetical protein,Unknown
Prochlorococcus MED4,PMM0702,,"uncharacterized conserved membrane protein, Prochlorococcus-specific",Unknown
Prochlorococcus MED4,PMM0732,,"translation initiation factor IF-2, N-terminal domain-containing protein",Unknown
Prochlorococcus MED4,PMM0793,,uncharacterized conserved secreted protein,Unknown
Prochlorococcus MED4,PMM0809,,uncharacterized conserved secreted protein,Unknown
Prochlorococcus MED4,PMM0812,,conserved hypothetical protein,Unknown
Prochlorococcus MED4,PMM0837,,conserved hypothetical protein,Unknown
Prochlorococcus MED4,PMM0844,cycI1,Mg-protoporphyrin IX monomethylester oxidative cyclase,Coenzyme metabolism
Prochlorococcus MED4,PMM0853,rpmF,50S ribosomal protein L32,Translation
Prochlorococcus MED4,PMM0878,ilvE,branched-chain amino acid aminotransferase,Amino acid metabolism
Prochlorococcus MED4,PMM0943,rpsO,30S ribosomal protein S15,Translation
Prochlorococcus MED4,PMM0990,,FAD/NAD-binding domain-containing protein,Unknown
Prochlorococcus MED4,PMM0995,,uncharacterized conserved membrane protein,Unknown
Prochlorococcus MED4,PMM0996,,conserved hypothetical protein (DUF3303),Stress response and adaptation
Prochlorococcus MED4,PMM1013,,conserved hypothetical protein,Unknown
Prochlorococcus MED4,PMM1023,,uncharacterized conserved secreted protein,Unknown
Prochlorococcus MED4,PMM1031,,"ABC-type Mn2+/Zn2+ transport system, ATP-binding component",Transport
Prochlorococcus MED4,PMM1056,trmJ,"RNA methyltransferase, TrmH , group 1 family protein",Stress response and adaptation
Prochlorococcus MED4,PMM1082,,helix-turn-helix domain-containing protein,Regulatory functions
Prochlorococcus MED4,PMM1102,recD,"exodeoxyribonuclease V (RecBCD complex), alpha subunit",Replication and repair
Prochlorococcus MED4,PMM1140,polA,DNA polymerase I,Replication and repair
Prochlorococcus MED4,PMM1183,rpmH,50S ribosomal protein L34,Translation
Prochlorococcus MED4,PMM1203,rfbG,"CDP-glucose 4,6-dehydratase",Cell wall and membrane
Prochlorococcus MED4,PMM1210,,nucleotide sugar epimerase,Cell wall and membrane
Prochlorococcus MED4,PMM1216,,mobA-like NTP transferase domain protein,Translation
Prochlorococcus MED4,PMM1243,,putative methyltransferase,Secondary metabolites
Prochlorococcus MED4,PMM1257,rfbB,"possible dTDP-glucose 4,6-dehydratase",Cell wall and membrane
Prochlorococcus MED4,PMM1276,,conserved hypothetical protein,Stress response and adaptation
Prochlorococcus MED4,PMM1320,,possible uncharacterized conserved secreted protein,Unknown
Prochlorococcus MED4,PMM1322,glgX,isoamylase,Carbohydrate metabolism
Prochlorococcus MED4,PMM1345,rpmA,50S ribosomal protein L27,Translation
Prochlorococcus MED4,PMM1361,,short-chain dehydrogenase/reductase (SDR) superfamily,Lipid metabolism
Prochlorococcus MED4,PMM1368,,conserved hypothetical protein,Unknown
Prochlorococcus MED4,PMM1372,,conserved hypothetical protein,Unknown
Prochlorococcus MED4,PMM1387,,conserved hypothetical protein,Unknown
Prochlorococcus MED4,PMM1405,,conserved hypothetical protein,Unknown
Prochlorococcus MED4,PMM1452,atpD,ATP synthase delta chain,Photosynthesis
Prochlorococcus MED4,PMM1460,ccsB,cytochrome c biogenesis protein,Coenzyme metabolism
Prochlorococcus MED4,PMM1509,fusA,elongation factor G,Translation
Prochlorococcus MED4,PMM1517,,beta-lactamase enzyme family protein,Defense mechanisms
Prochlorococcus MED4,PMM1519,psaL,photosystem I reaction centre subunit XI,Stress response and adaptation
Prochlorococcus MED4,PMM1534,rplQ,50S ribosomal protein L17,Translation
Prochlorococcus MED4,PMM1543,rplR,50S ribosomal protein L18,Stress response and adaptation
Prochlorococcus MED4,PMM1551,rplP,50S ribosomal protein L16,Translation
Prochlorococcus MED4,PMM1553,rplV,50S ribosomal protein L22,Translation
Prochlorococcus MED4,PMM1563,,uncharacterized conserved membrane protein (DUF2839),Unknown
Prochlorococcus MED4,PMM1612,,uncharacterized conserved membrane protein (DUF3188),Unknown
Prochlorococcus MED4,PMM1619,srrA,"NblS-interacting two-component response regulator, OmpR family",Regulatory functions
Prochlorococcus MED4,PMM1634,gyrB,"DNA gyrase, B subunit",Replication and repair
Prochlorococcus MED4,PMM1640,wecD,acetyltransferase family protein,Transcription
Prochlorococcus MED4,PMM1692,pabB,para-aminobenzoate synthetase component I,Coenzyme metabolism
Prochlorococcus MED4,PMM1694,cobA,uroporphyrinogen-III C-methyltransferase,Coenzyme metabolism
Prochlorococcus MED4,PMM1715,,alpha/beta hydrolase of unknown function (DUF1400),Unknown
Prochlorococcus MED4,PMM1804,,conserved hypothetical protein,Unknown
Prochlorococcus MED4,PMM1821,,conserved hypothetical protein,Unknown
Prochlorococcus MED4,PMM1858,,conserved hypothetical protein family PM-14,Unknown
Prochlorococcus MED4,PMM1902,,conserved hypothetical protein,Unknown
Prochlorococcus MED4,PMM1913,,Hypothetical protein,Unknown
Prochlorococcus MED4,PMM1948,,Conserved hypothetical protein,Unknown
Prochlorococcus MED4,PMM1988,,Conserved hypothetical protein,Unknown
