group,organism_name,locus_tag,n_tests,n_up,n_down,n_not_significant,rate_significant
H1_N,Prochlorococcus MED4,PMM0047,10,0,0,10,0.0
H1_N,Prochlorococcus MED4,PMM0100,10,0,0,10,0.0
H1_N,Prochlorococcus MED4,PMM0246,13,8,0,5,0.6153846153846154
H1_N,Prochlorococcus MED4,PMM0263,13,5,0,8,0.38461538461538464
H1_N,Prochlorococcus MED4,PMM0370,13,9,0,4,0.6923076923076923
H1_N,Prochlorococcus MED4,PMM0371,13,6,0,7,0.46153846153846156
H1_N,Prochlorococcus MED4,PMM0372,10,5,0,5,0.5
H1_N,Prochlorococcus MED4,PMM0373,13,3,0,10,0.23076923076923078
H1_N,Prochlorococcus MED4,PMM0393,10,1,0,9,0.1
H1_N,Prochlorococcus MED4,PMM0920,13,11,0,2,0.8461538461538461
H1_N,Prochlorococcus MED4,PMM0963,13,4,0,9,0.3076923076923077
H1_N,Prochlorococcus MED4,PMM0964,13,4,0,9,0.3076923076923077
H1_N,Prochlorococcus MED4,PMM0965,13,8,0,5,0.6153846153846154
H1_N,Prochlorococcus MED4,PMM0966,13,1,0,12,0.07692307692307693
H1_N,Prochlorococcus MED4,PMM0967,10,2,0,8,0.2
H1_N,Prochlorococcus MED4,PMM0968,7,0,0,7,0.0
H1_N,Prochlorococcus MED4,PMM0969,13,3,0,10,0.23076923076923078
H1_N,Prochlorococcus MED4,PMM0970,13,8,1,4,0.6923076923076923
H1_N,Prochlorococcus MED4,PMM0972,10,1,0,9,0.1
H1_N,Prochlorococcus MED4,PMM0973,10,1,0,9,0.1
H1_N,Prochlorococcus MED4,PMM0974,13,1,0,12,0.07692307692307693
H1_N,Prochlorococcus MED4,PMM1512,13,3,0,10,0.23076923076923078
H1_N,Prochlorococcus MIT9313,PMT0177,6,0,2,4,0.3333333333333333
H1_N,Prochlorococcus MIT9313,PMT0205,6,0,0,6,0.0
H1_N,Prochlorococcus MIT9313,PMT0601,6,3,0,3,0.5
H1_N,Prochlorococcus MIT9313,PMT0623,6,0,0,6,0.0
H1_N,Prochlorococcus MIT9313,PMT0894,6,0,0,6,0.0
H1_N,Prochlorococcus MIT9313,PMT0896,6,0,0,6,0.0
H1_N,Prochlorococcus MIT9313,PMT0897,6,0,1,5,0.16666666666666666
H1_N,Prochlorococcus MIT9313,PMT1777,6,0,1,5,0.16666666666666666
H1_N,Prochlorococcus MIT9313,PMT1831,6,4,0,2,0.6666666666666666
H1_N,Prochlorococcus MIT9313,PMT1853,6,4,0,2,0.6666666666666666
H1_N,Prochlorococcus MIT9313,PMT2140,6,0,0,6,0.0
H1_N,Prochlorococcus MIT9313,PMT2225,6,0,0,6,0.0
H1_N,Prochlorococcus MIT9313,PMT2226,6,0,0,6,0.0
H1_N,Prochlorococcus MIT9313,PMT2227,6,0,0,6,0.0
H1_N,Prochlorococcus MIT9313,PMT2229,6,5,0,1,0.8333333333333334
H1_N,Prochlorococcus MIT9313,PMT2230,6,0,0,6,0.0
H1_N,Prochlorococcus MIT9313,PMT2231,6,0,0,6,0.0
H1_N,Prochlorococcus MIT9313,PMT2232,6,0,0,6,0.0
H1_N,Prochlorococcus MIT9313,PMT2233,6,0,0,6,0.0
H1_N,Prochlorococcus MIT9313,PMT2234,6,1,0,5,0.16666666666666666
H1_N,Prochlorococcus MIT9313,PMT2235,6,1,0,5,0.16666666666666666
H1_N,Prochlorococcus MIT9313,PMT2236,6,1,0,5,0.16666666666666666
H1_N,Prochlorococcus MIT9313,PMT2239,6,4,0,2,0.6666666666666666
H1_N,Prochlorococcus MIT9313,PMT2240,6,4,0,2,0.6666666666666666
H1_P,Prochlorococcus MED4,PMM0705,5,3,0,2,0.6
H1_P,Prochlorococcus MED4,PMM0706,5,1,0,4,0.2
H1_P,Prochlorococcus MED4,PMM0707,5,2,0,3,0.4
H1_P,Prochlorococcus MED4,PMM0708,5,3,0,2,0.6
H1_P,Prochlorococcus MED4,PMM0710,5,2,0,3,0.4
H1_P,Prochlorococcus MED4,PMM0713,5,3,0,2,0.6
H1_P,Prochlorococcus MED4,PMM0719,5,2,0,3,0.4
H1_P,Prochlorococcus MED4,PMM0721,5,1,0,4,0.2
H1_P,Prochlorococcus MED4,PMM0723,5,2,0,3,0.4
H1_P,Prochlorococcus MED4,PMM0724,5,1,0,4,0.2
H1_P,Prochlorococcus MED4,PMM1416,5,2,0,3,0.4
H1_P,Prochlorococcus MIT9312,PMT9312_0720,1,1,0,0,1.0
H1_P,Prochlorococcus MIT9312,PMT9312_0722,1,1,0,0,1.0
H1_P,Prochlorococcus MIT9313,PMT0508,4,2,0,2,0.5
H1_P,Prochlorococcus MIT9313,PMT0700,4,1,0,3,0.25
H1_P,Prochlorococcus MIT9313,PMT0701,4,1,0,3,0.25
H1_P,Prochlorococcus MIT9313,PMT0702,4,1,0,3,0.25
H1_P,Prochlorococcus MIT9313,PMT0993,4,2,0,2,0.5
H1_P,Prochlorococcus MIT9313,PMT0994,4,2,0,2,0.5
H1_P,Prochlorococcus MIT9313,PMT1000,4,2,0,2,0.5
H1_P,Prochlorococcus MIT9313,PMT_0995,4,1,0,3,0.25
H1_P,Prochlorococcus NATL2A,PMN2A_0309,6,1,0,5,0.16666666666666666
H1_P,Prochlorococcus NATL2A,PMN2A_0310,6,1,0,5,0.16666666666666666
H1_P,Prochlorococcus NATL2A,PMN2A_0311,6,1,0,5,0.16666666666666666
H1_P,Prochlorococcus NATL2A,PMN2A_0435,6,0,0,6,0.0
H1_P,Prochlorococcus NATL2A,PMN2A_0436,6,5,0,1,0.8333333333333334
H1_P,Prochlorococcus NATL2A,PMN2A_0437,6,3,0,3,0.5
H1_P,Prochlorococcus NATL2A,PMN2A_0439,6,1,0,5,0.16666666666666666
H1_P,Prochlorococcus NATL2A,PMN2A_0441,7,3,1,3,0.5714285714285714
H1_P,Prochlorococcus NATL2A,PMN2A_0445,6,6,0,0,1.0
H1_P,Prochlorococcus NATL2A,PMN2A_1827,1,0,1,0,1.0
H2_Ngenes_Pexp,Prochlorococcus MED4,PMM0970,5,0,2,3,0.4
H2_Ngenes_Pexp,Prochlorococcus NATL2A,PMN2A_0141,1,0,1,0,1.0
H2_Pgenes_Nexp,Prochlorococcus MED4,PMM0035,13,8,0,5,0.6153846153846154
H2_Pgenes_Nexp,Prochlorococcus MED4,PMM0457,10,2,1,7,0.3
H2_Pgenes_Nexp,Prochlorococcus MED4,PMM0494,13,0,6,7,0.46153846153846156
H2_Pgenes_Nexp,Prochlorococcus MED4,PMM0511,13,0,5,8,0.38461538461538464
H2_Pgenes_Nexp,Prochlorococcus MED4,PMM0671,10,0,0,10,0.0
H2_Pgenes_Nexp,Prochlorococcus MED4,PMM0672,10,0,0,10,0.0
H2_Pgenes_Nexp,Prochlorococcus MED4,PMM0673,10,0,5,5,0.5
H2_Pgenes_Nexp,Prochlorococcus MED4,PMM0705,13,0,2,11,0.15384615384615385
H2_Pgenes_Nexp,Prochlorococcus MED4,PMM0706,10,0,1,9,0.1
H2_Pgenes_Nexp,Prochlorococcus MED4,PMM0707,10,1,0,9,0.1
H2_Pgenes_Nexp,Prochlorococcus MED4,PMM0708,13,1,0,12,0.07692307692307693
H2_Pgenes_Nexp,Prochlorococcus MED4,PMM0710,13,0,7,6,0.5384615384615384
H2_Pgenes_Nexp,Prochlorococcus MED4,PMM0711,7,0,0,7,0.0
H2_Pgenes_Nexp,Prochlorococcus MED4,PMM0713,10,0,0,10,0.0
H2_Pgenes_Nexp,Prochlorococcus MED4,PMM0714,9,1,0,8,0.1111111111111111
H2_Pgenes_Nexp,Prochlorococcus MED4,PMM0716,7,0,0,7,0.0
H2_Pgenes_Nexp,Prochlorococcus MED4,PMM0719,12,4,0,8,0.3333333333333333
H2_Pgenes_Nexp,Prochlorococcus MED4,PMM0721,10,2,0,8,0.2
H2_Pgenes_Nexp,Prochlorococcus MED4,PMM0722,13,2,0,11,0.15384615384615385
H2_Pgenes_Nexp,Prochlorococcus MED4,PMM0723,10,1,0,9,0.1
H2_Pgenes_Nexp,Prochlorococcus MED4,PMM0724,10,0,1,9,0.1
H2_Pgenes_Nexp,Prochlorococcus MED4,PMM0725,13,0,0,13,0.0
H2_Pgenes_Nexp,Prochlorococcus MED4,PMM1416,13,1,0,12,0.07692307692307693
H2_Pgenes_Nexp,Prochlorococcus MED4,PMM1665,13,0,2,11,0.15384615384615385
H2_Pgenes_Nexp,Prochlorococcus MED4,PMM1696,10,0,0,10,0.0
H2_Pgenes_Nexp,Prochlorococcus MIT9313,PMT0043,6,0,1,5,0.16666666666666666
H2_Pgenes_Nexp,Prochlorococcus MIT9313,PMT0050,6,0,2,4,0.3333333333333333
H2_Pgenes_Nexp,Prochlorococcus MIT9313,PMT0508,6,1,0,5,0.16666666666666666
H2_Pgenes_Nexp,Prochlorococcus MIT9313,PMT0700,6,0,1,5,0.16666666666666666
H2_Pgenes_Nexp,Prochlorococcus MIT9313,PMT0701,6,0,0,6,0.0
H2_Pgenes_Nexp,Prochlorococcus MIT9313,PMT0702,6,0,0,6,0.0
H2_Pgenes_Nexp,Prochlorococcus MIT9313,PMT0780,6,0,0,6,0.0
H2_Pgenes_Nexp,Prochlorococcus MIT9313,PMT0781,6,0,0,6,0.0
H2_Pgenes_Nexp,Prochlorococcus MIT9313,PMT0782,6,0,0,6,0.0
H2_Pgenes_Nexp,Prochlorococcus MIT9313,PMT0993,6,2,0,4,0.3333333333333333
