group,organism_name,locus_tag,experiment_id,omics_type,timepoint,log2fc,padj,expression_status
H1_N,Prochlorococcus MED4,PMM0370,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,5.7284866494887,0.01,significant_up
H1_N,Prochlorococcus MED4,PMM0970,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,5.37087883412763,0.01,significant_up
H1_N,Prochlorococcus MED4,PMM0370,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,5.158630264411528,6.899092611446335e-10,significant_up
H1_N,Prochlorococcus MED4,PMM0920,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,5.06051169137151,0.01,significant_up
H1_N,Prochlorococcus MED4,PMM0370,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,4.58350176619516,0.01,significant_up
H1_N,Prochlorococcus MED4,PMM0246,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,4.45086478182776,0.01,significant_up
H1_N,Prochlorococcus MED4,PMM0370,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,4.30854281269086,0.01,significant_up
H1_N,Prochlorococcus MED4,PMM0371,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,4.279566443092617,2.9550592954568683e-10,significant_up
H1_N,Prochlorococcus MED4,PMM0920,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,4.14177961834331,0.01,significant_up
H1_N,Prochlorococcus MED4,PMM0970,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,4.07,0.0,significant_up
H1_N,Prochlorococcus MED4,PMM0370,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,4.06454932416169,0.01,significant_up
H1_N,Prochlorococcus MED4,PMM0920,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,3.92174594063168,0.01,significant_up
H1_N,Prochlorococcus MED4,PMM0370,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,3.91380620805672,0.01,significant_up
H1_N,Prochlorococcus MED4,PMM0970,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,3.90870782237566,0.01,significant_up
H1_N,Prochlorococcus MED4,PMM0970,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,3.86942338221993,0.01,significant_up
H1_N,Prochlorococcus MED4,PMM0263,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,3.8635086439112745,7.801311428232697e-10,significant_up
H1_N,Prochlorococcus MED4,PMM0370,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,3.85,0.0,significant_up
H1_N,Prochlorococcus MED4,PMM0370,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,3.84,0.0,significant_up
H1_N,Prochlorococcus MED4,PMM0970,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,3.8347661783105,0.01,significant_up
H1_N,Prochlorococcus MED4,PMM0920,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,3.79888923224975,0.01,significant_up
H1_N,Prochlorococcus MED4,PMM0920,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,3.75973171772578,0.01,significant_up
H1_N,Prochlorococcus MED4,PMM0970,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,3.75015994971883,0.01,significant_up
H1_N,Prochlorococcus MED4,PMM0263,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,3h,3.67,0.02,significant_up
H1_N,Prochlorococcus MED4,PMM0246,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,3.58713213602702,2.48270602762731e-07,significant_up
H1_N,Prochlorococcus MED4,PMM0373,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,3h,3.49,0.0,significant_up
H1_N,Prochlorococcus MED4,PMM0920,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,3.3569768863566645,7.395965792256581e-06,significant_up
H1_N,Prochlorococcus MED4,PMM0246,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,3.352117316421244,1.0044699427936916e-05,significant_up
H1_N,Prochlorococcus MED4,PMM0966,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,-3.171026598,1.0,not_significant
H1_N,Prochlorococcus MED4,PMM0966,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,-3.082907367,1.0,not_significant
H1_N,Prochlorococcus MED4,PMM0965,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,3.08,0.0,significant_up
H1_N,Prochlorococcus MED4,PMM0246,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,3.038840754,1.0,not_significant
H1_N,Prochlorococcus MED4,PMM0246,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,3.01927772296539,0.01,significant_up
H1_N,Prochlorococcus MED4,PMM0372,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,2.981071492685053,2.4777048908969736e-11,significant_up
H1_N,Prochlorococcus MED4,PMM0920,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,2.85,0.0,significant_up
H1_N,Prochlorococcus MED4,PMM0970,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,2.8,0.01,significant_up
H1_N,Prochlorococcus MED4,PMM0246,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,2.67964712778727,2.53352928604394e-06,significant_up
H1_N,Prochlorococcus MED4,PMM0970,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,2.6694942279740563,0.0001935099423896,significant_up
H1_N,Prochlorococcus MED4,PMM0371,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,2.65,0.0,significant_up
H1_N,Prochlorococcus MED4,PMM0965,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,2.6,0.0,significant_up
H1_N,Prochlorococcus MED4,PMM1512,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,2.529728484721897,6.0856483158426845e-09,significant_up
H1_N,Prochlorococcus MED4,PMM0920,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,2.52888647715251,3.51988774237846e-06,significant_up
H1_N,Prochlorococcus MED4,PMM0920,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,2.45,0.0,significant_up
H1_N,Prochlorococcus MED4,PMM0371,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,2.37248468438192,0.01,significant_up
H1_N,Prochlorococcus MED4,PMM0964,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,2.37,0.01,significant_up
