n_or_p,gene_name_raw,organism_name,locus_tag,experiment_id,omics_type,timepoint,log2fc,padj,expression_status
N,cynA,Prochlorococcus MED4,PMM0370,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,5.7284866494887,0.01,significant_up
N,urtA,Prochlorococcus MED4,PMM0970,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,5.37087883412763,0.01,significant_up
N,cynA,Prochlorococcus MED4,PMM0370,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,5.158630264411528,6.899092611446335e-10,significant_up
N,glnA,Prochlorococcus MED4,PMM0920,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,5.06051169137151,0.01,significant_up
N,cynA,Prochlorococcus MED4,PMM0370,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,4.58350176619516,0.01,significant_up
P,pstS,Prochlorococcus MED4,PMM0710,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,-4.460025089868583,1.43757727559003e-17,significant_down
N,ntcA,Prochlorococcus MED4,PMM0246,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,4.45086478182776,0.01,significant_up
P,PMM722,Prochlorococcus MED4,PMM0722,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,3h,4.32,0.0,significant_up
N,cynA,Prochlorococcus MED4,PMM0370,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,4.30854281269086,0.01,significant_up
N,cynB,Prochlorococcus MED4,PMM0371,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,4.279566443092617,2.9550592954568683e-10,significant_up
P,arsR,Prochlorococcus MED4,PMM0714,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,4.268064080975516,3.0605134169689046e-17,significant_up
N,glnA,Prochlorococcus MED4,PMM0920,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,4.14177961834331,0.01,significant_up
N,urtA,Prochlorococcus MED4,PMM0970,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,4.07,0.0,significant_up
N,cynA,Prochlorococcus MED4,PMM0370,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,4.06454932416169,0.01,significant_up
P,pstS,Prochlorococcus MED4,PMM0710,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,-4.0,0.0,significant_down
N,glnA,Prochlorococcus MED4,PMM0920,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,3.92174594063168,0.01,significant_up
N,cynA,Prochlorococcus MED4,PMM0370,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,3.91380620805672,0.01,significant_up
N,urtA,Prochlorococcus MED4,PMM0970,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,3.90870782237566,0.01,significant_up
N,urtA,Prochlorococcus MED4,PMM0970,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,3.86942338221993,0.01,significant_up
N,amtB/amt1,Prochlorococcus MED4,PMM0263,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,3.8635086439112745,7.801311428232697e-10,significant_up
N,cynA,Prochlorococcus MED4,PMM0370,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,3.85,0.0,significant_up
N,cynA,Prochlorococcus MED4,PMM0370,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,3.84,0.0,significant_up
N,urtA,Prochlorococcus MED4,PMM0970,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,3.8347661783105,0.01,significant_up
N,glnA,Prochlorococcus MED4,PMM0920,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,3.79888923224975,0.01,significant_up
N,glnA,Prochlorococcus MED4,PMM0920,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,3.75973171772578,0.01,significant_up
N,urtA,Prochlorococcus MED4,PMM0970,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,3.75015994971883,0.01,significant_up
