gene_name_raw,n_or_p,omics_type,n_measurements,n_significant,median_log2fc,fraction_significant
PMM707,P,MICROARRAY,6,0,0.531137941,0.0
PMM707,P,RNASEQ,4,1,0.755,0.25
PMM719,P,MICROARRAY,6,2,0.43187757649999997,0.3333333333333333
PMM719,P,PROTEOMICS,3,1,-0.359106381734213,0.3333333333333333
PMM719,P,RNASEQ,3,1,0.72,0.3333333333333333
PMM721,P,MICROARRAY,6,0,-1.5332166505,0.0
PMM721,P,PROTEOMICS,3,1,0.7079439163208,0.3333333333333333
PMM721,P,RNASEQ,1,1,1.4181845616632252,1.0
PMM722,P,MICROARRAY,6,0,-0.1264897865,0.0
PMM722,P,PROTEOMICS,3,1,1.19332122802734,0.3333333333333333
PMM722,P,RNASEQ,4,1,-0.027338927548027102,0.25
PsiP1,P,MICROARRAY,6,0,-0.080423101,0.0
PsiP1,P,PROTEOMICS,3,1,0.272650718688967,0.3333333333333333
PsiP1,P,RNASEQ,4,1,0.645,0.25
acr3/arsB,P,MICROARRAY,6,0,-0.156063188,0.0
acr3/arsB,P,RNASEQ,1,0,-0.2099762157876589,0.0
amtB/amt1,N,MICROARRAY,12,6,1.07131092326754,0.5
amtB/amt1,N,PROTEOMICS,3,2,0.647590637207035,0.6666666666666666
amtB/amt1,N,RNASEQ,4,2,2.9699999999999998,0.5
arsR,P,MICROARRAY,12,0,-0.15972511299999997,0.0
arsR,P,RNASEQ,3,1,1.61,0.3333333333333333
chrA,P,MICROARRAY,6,0,-0.9509862705,0.0
chrA,P,RNASEQ,1,0,0.619803074187042,0.0
cynA,N,MICROARRAY,6,5,4.186546068426274,0.8333333333333334
cynA,N,PROTEOMICS,3,2,0.56135654449463,0.6666666666666666
cynA,N,RNASEQ,4,3,3.8449999999999998,0.75
cynB,N,MICROARRAY,6,4,2.01852049795379,0.6666666666666666
cynB,N,PROTEOMICS,3,0,1.27374362945557,0.0
cynB,N,RNASEQ,4,2,1.585,0.5
cynD,N,MICROARRAY,6,3,1.4100975444717698,0.5
cynD,N,PROTEOMICS,3,2,0.713287989298502,0.6666666666666666
cynD,N,RNASEQ,1,1,2.981071492685053,1.0
cynS,N,MICROARRAY,6,0,0.9802390594999999,0.0
cynS,N,PROTEOMICS,3,2,1.11622905731201,0.6666666666666666
cynS,N,RNASEQ,4,1,1.243867495085909,0.25
focA,N,MICROARRAY,6,4,3.35391844292167,0.6666666666666666
gap3,P,MICROARRAY,12,0,0.286243766,0.0
gap3,P,PROTEOMICS,3,2,0.516707420349121,0.6666666666666666
gap3,P,RNASEQ,1,0,0.2967648878526674,0.0
gdhA,N,MICROARRAY,6,0,0.018599291,0.0
glnA,N,MICROARRAY,12,8,1.877510995241745,0.6666666666666666
glnA,N,PROTEOMICS,3,3,2.12048435211182,1.0
glnA,N,RNASEQ,4,3,2.6500000000000004,0.75
glsF,N,MICROARRAY,12,3,-0.0616251475,0.25
glsF,N,PROTEOMICS,3,0,0.03409544626872,0.0
glsF,N,RNASEQ,4,1,0.875,0.25
nadB,N,MICROARRAY,12,2,-0.5278941109999999,0.16666666666666666
nadB,N,PROTEOMICS,3,3,-0.608890851338705,1.0
nadB,N,RNASEQ,1,1,0.7835340635894691,1.0
natF,N,MICROARRAY,6,1,0.054294586,0.16666666666666666
natG,N,MICROARRAY,6,0,-0.1794386115,0.0
natH,N,MICROARRAY,6,0,-0.290517454,0.0
nirA,N,MICROARRAY,6,4,3.825558821465895,0.6666666666666666
ntcA,N,MICROARRAY,12,7,2.9667197365473603,0.5833333333333334
ntcA,N,PROTEOMICS,3,3,2.67964712778727,1.0
ntcA,N,RNASEQ,4,2,1.94,0.5
phnC,P,MICROARRAY,12,0,-0.843298119,0.0
phnC,P,PROTEOMICS,3,1,-0.69143549601237,0.3333333333333333
phnC,P,RNASEQ,1,0,-0.3696371204325545,0.0
phnD,P,MICROARRAY,12,2,-0.895064389,0.16666666666666666
phnD,P,PROTEOMICS,3,3,-2.07831954956055,1.0
phnD,P,RNASEQ,1,1,-2.623674416917959,1.0
phnE,P,MICROARRAY,12,0,-0.2495368295,0.0
phnE,P,PROTEOMICS,3,0,0.197601000467936,0.0
phnE,P,RNASEQ,1,0,-0.0290448204006992,0.0
phoA,P,MICROARRAY,6,0,-0.2650424425,0.0
phoA,P,PROTEOMICS,3,2,0.692026774088541,0.6666666666666666
phoA,P,RNASEQ,4,1,0.575,0.25
phoB,P,MICROARRAY,12,1,-0.1483716135,0.08333333333333333
phoB,P,PROTEOMICS,3,0,0.418107032775879,0.0
phoB,P,RNASEQ,4,2,-0.2735828227462714,0.5
phoR,P,MICROARRAY,24,0,-0.0766878265,0.0
phoR,P,PROTEOMICS,3,2,-0.779887199401855,0.6666666666666666
phoR,P,RNASEQ,1,1,-0.9020615042254247,1.0
pipX,N,MICROARRAY,12,0,0.0533118485,0.0
pipX,N,PROTEOMICS,3,1,-0.0812196731567369,0.3333333333333333
pipX,N,RNASEQ,1,0,0.0746086564458916,0.0
ppA,P,MICROARRAY,24,6,-0.47074587,0.25
ppA,P,PROTEOMICS,6,1,-0.1765486399332655,0.16666666666666666
ppA,P,RNASEQ,8,6,-1.725,0.75
ppK,P,MICROARRAY,12,0,-0.08909990150000001,0.0
ppK,P,PROTEOMICS,3,0,0.201471010843913,0.0
ppK,P,RNASEQ,1,0,-0.4784833685675551,0.0
ppX,P,MICROARRAY,12,0,-0.3364759055,0.0
ppX,P,PROTEOMICS,3,2,1.22308985392253,0.6666666666666666
ppX,P,RNASEQ,1,1,-2.856994119628256,1.0
pstA,P,MICROARRAY,24,4,-0.2767333685,0.16666666666666666
pstA,P,PROTEOMICS,6,5,0.5300566355387375,0.8333333333333334
pstA,P,RNASEQ,5,2,1.031526491079953,0.4
pstB,P,MICROARRAY,12,1,0.083944961,0.08333333333333333
pstB,P,PROTEOMICS,3,0,0.381465276082358,0.0
pstB,P,RNASEQ,4,0,0.35669137352260133,0.0
pstC,P,MICROARRAY,12,0,-0.221008819,0.0
