n_or_p,gene_name_raw,organism_name,locus_tag,experiment_id,omics_type,timepoint,log2fc,padj,expression_status
P,phoA,Prochlorococcus MED4,PMM0708,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,48h,162.295,0.0,significant_up
P,PsiP1,Prochlorococcus MED4,PMM1416,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,48h,44.524,0.0,significant_up
P,PMM707,Prochlorococcus MED4,PMM0707,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,48h,29.907,0.0,significant_up
P,phoA,Prochlorococcus MED4,PMM0708,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,24h,13.059,0.0,significant_up
P,PMM719,Prochlorococcus MED4,PMM0719,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,48h,12.183,0.0,significant_up
P,pstC,Prochlorococcus MED4,PMM0723,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,48h,9.222,0.0,significant_up
P,PsiP1,Prochlorococcus MED4,PMM1416,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,24h,9.086,0.0,significant_up
P,pstA,Prochlorococcus MED4,PMM0724,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,48h,8.034,0.0,significant_up
P,phoB,Prochlorococcus MED4,PMM0705,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,48h,5.298,0.0,significant_up
P,gap3,Prochlorococcus MED4,PMM0713,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,48h,5.273,0.0001,significant_up
P,pstS,Prochlorococcus MED4,PMM0710,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,48h,4.67,0.0,significant_up
P,PMM721,Prochlorococcus MED4,PMM0721,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,48h,4.356,0.0367,significant_up
P,phoB,Prochlorococcus MED4,PMM0705,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,12h,3.49,0.0,significant_up
P,phoB,Prochlorococcus MED4,PMM0705,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,24h,2.882,0.0001,significant_up
P,PMM707,Prochlorococcus MED4,PMM0707,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,24h,2.677,0.0053,significant_up
P,phoR,Prochlorococcus MED4,PMM0706,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,48h,2.522,0.0084,significant_up
P,gap3,Prochlorococcus MED4,PMM0713,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,12h,2.467,0.0011,significant_up
P,gap3,Prochlorococcus MED4,PMM0713,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,24h,2.424,0.0,significant_up
P,pstC,Prochlorococcus MED4,PMM0723,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,24h,2.264,0.0051,significant_up
P,PMM719,Prochlorococcus MED4,PMM0719,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,24h,2.257,0.0042,significant_up
P,pstS,Prochlorococcus MED4,PMM0710,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,24h,2.232,0.0,significant_up
P,phoB,Prochlorococcus MED4,PMM0705,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,4h,2.158,0.1601,not_significant
P,phoA,Prochlorococcus MED4,PMM0708,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,12h,2.142,0.008,significant_up
N,urtA,Prochlorococcus MED4,PMM0970,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,48h,-1.883,0.0256,significant_down
P,pstC,Prochlorococcus MED4,PMM0723,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,4h,1.866,0.2065,not_significant
P,pstA,Prochlorococcus MED4,PMM0724,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,4h,1.728,0.2691,not_significant
N,urtA,Prochlorococcus MED4,PMM0970,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,0h,-1.657,0.0285,significant_down
