N or P gene?,Cyanorak Ids,Gene_name,Type,Function,Paper 1,Paper 2,Paper 3,Paper 4
N,CK_00000244,amtB/amt1,ammonium,ammonium transport,"García-Fernández et al., 2004","Berube, P. M., Biller, S. J., Kent, A. G., Berta-Thompson, J. W., Roggensack, S. E., Roache-Johnson, K. H., ... & Chisholm, S. W. (2015). Physiology and evolution of nitrate acquisition in Prochlorococcus. The ISME journal, 9(5), 1195-1207.",,
N,CK_00008701,amt2,,ammonium transport,,,,
N,CK_00002165,cynA,cyanate,cyanate transport,"Kamennaya et al., 2008","Berube, P. M., Biller, S. J., Kent, A. G., Berta-Thompson, J. W., Roggensack, S. E., Roache-Johnson, K. H., ... & Chisholm, S. W. (2015). Physiology and evolution of nitrate acquisition in Prochlorococcus. The ISME journal, 9(5), 1195-1207.",,
N,CK_00002166,cynB,cyanate,cyanate transport,"Kamennaya et al., 2008","Berube, P. M., Biller, S. J., Kent, A. G., Berta-Thompson, J. W., Roggensack, S. E., Roache-Johnson, K. H., ... & Chisholm, S. W. (2015). Physiology and evolution of nitrate acquisition in Prochlorococcus. The ISME journal, 9(5), 1195-1207.",,
N,CK_00000003,cynD,,cyanate transporter,"Díez, J., López-Lozano, A., Domínguez-Martín, M. A., Gómez-Baena, G., Muñoz-Marín, M. C., Melero-Rubio, Y., & García-Fernández, J. M. (2023). Regulatory and metabolic adaptations in the nitrogen assimilation of marine picocyanobacteria. FEMS microbiology reviews, 47(1), fuac043.",,,
N,CK_00001552,cynS,cyanate to ammonium,hydrolysis  of cyanate to ammonium and carbon dioxide,"Kamennaya et al., 2008","Berube, P. M., Biller, S. J., Kent, A. G., Berta-Thompson, J. W., Roggensack, S. E., Roache-Johnson, K. H., ... & Chisholm, S. W. (2015). Physiology and evolution of nitrate acquisition in Prochlorococcus. The ISME journal, 9(5), 1195-1207.",,
N,CK_00003051,cynH,,cyanate hydratase,"Díez, J., López-Lozano, A., Domínguez-Martín, M. A., Gómez-Baena, G., Muñoz-Marín, M. C., Melero-Rubio, Y., & García-Fernández, J. M. (2023). Regulatory and metabolic adaptations in the nitrogen assimilation of marine picocyanobacteria. FEMS microbiology reviews, 47(1), fuac043.",,,
N,CK_00053828,cynH2,,,,,,
N,CK_00001669,focA,nitrite,nitrite transport,"Rocap et al., 2003","Berube, P. M., Biller, S. J., Kent, A. G., Berta-Thompson, J. W., Roggensack, S. E., Roache-Johnson, K. H., ... & Chisholm, S. W. (2015). Physiology and evolution of nitrate acquisition in Prochlorococcus. The ISME journal, 9(5), 1195-1207.",,
N,CK_00001678,moaA,molybdopterin,molybdopterin  biosynthesis,"Martiny AC, Kathuria S, Berube PM. (2009). Widespread metabolic potential for nitrite and nitrate assimilation among Prochlorococcus ecotypes. Proc Natl Acad Sci USA 106: 10787-10792.","Berube, P. M., Biller, S. J., Kent, A. G., Berta-Thompson, J. W., Roggensack, S. E., Roache-Johnson, K. H., ... & Chisholm, S. W. (2015). Physiology and evolution of nitrate acquisition in Prochlorococcus. The ISME journal, 9(5), 1195-1207.",,
N,CK_00001670,moaB,molybdopterin,molybdopterin  biosynthesis,"Martiny AC, Kathuria S, Berube PM. (2009). Widespread metabolic potential for nitrite and nitrate assimilation among Prochlorococcus ecotypes. Proc Natl Acad Sci USA 106: 10787-10792.","Berube, P. M., Biller, S. J., Kent, A. G., Berta-Thompson, J. W., Roggensack, S. E., Roache-Johnson, K. H., ... & Chisholm, S. W. (2015). Physiology and evolution of nitrate acquisition in Prochlorococcus. The ISME journal, 9(5), 1195-1207.",,
N,CK_00001673,moaC,molybdopterin,molybdopterin  biosynthesis,"Martiny AC, Kathuria S, Berube PM. (2009). Widespread metabolic potential for nitrite and nitrate assimilation among Prochlorococcus ecotypes. Proc Natl Acad Sci USA 106: 10787-10792.","Berube, P. M., Biller, S. J., Kent, A. G., Berta-Thompson, J. W., Roggensack, S. E., Roache-Johnson, K. H., ... & Chisholm, S. W. (2015). Physiology and evolution of nitrate acquisition in Prochlorococcus. The ISME journal, 9(5), 1195-1207.",,
N,CK_00001749,moaD,molybdopterin,molybdopterin  biosynthesis,"Martiny AC, Kathuria S, Berube PM. (2009). Widespread metabolic potential for nitrite and nitrate assimilation among Prochlorococcus ecotypes. Proc Natl Acad Sci USA 106: 10787-10792.","Berube, P. M., Biller, S. J., Kent, A. G., Berta-Thompson, J. W., Roggensack, S. E., Roache-Johnson, K. H., ... & Chisholm, S. W. (2015). Physiology and evolution of nitrate acquisition in Prochlorococcus. The ISME journal, 9(5), 1195-1207.",,
N,CK_00001671,moaE,molybdopterin,molybdopterin  biosynthesis,"Martiny AC, Kathuria S, Berube PM. (2009). Widespread metabolic potential for nitrite and nitrate assimilation among Prochlorococcus ecotypes. Proc Natl Acad Sci USA 106: 10787-10792.","Berube, P. M., Biller, S. J., Kent, A. G., Berta-Thompson, J. W., Roggensack, S. E., Roache-Johnson, K. H., ... & Chisholm, S. W. (2015). Physiology and evolution of nitrate acquisition in Prochlorococcus. The ISME journal, 9(5), 1195-1207.",,
N,CK_00001677,mobA,molybdopterin,molybdopterin  biosynthesis,"Martiny AC, Kathuria S, Berube PM. (2009). Widespread metabolic potential for nitrite and nitrate assimilation among Prochlorococcus ecotypes. Proc Natl Acad Sci USA 106: 10787-10792.","Berube, P. M., Biller, S. J., Kent, A. G., Berta-Thompson, J. W., Roggensack, S. E., Roache-Johnson, K. H., ... & Chisholm, S. W. (2015). Physiology and evolution of nitrate acquisition in Prochlorococcus. The ISME journal, 9(5), 1195-1207.",,
N,CK_00001672,moeA,molybdopterin,molybdopterin  biosynthesis,"Martiny AC, Kathuria S, Berube PM. (2009). Widespread metabolic potential for nitrite and nitrate assimilation among Prochlorococcus ecotypes. Proc Natl Acad Sci USA 106: 10787-10792.",,,
N,CK_00000196,nadB,,deamination of amino acids,"Tedeschi et al., 1996","Berube, P. M., Biller, S. J., Kent, A. G., Berta-Thompson, J. W., Roggensack, S. E., Roache-Johnson, K. H., ... & Chisholm, S. W. (2015). Physiology and evolution of nitrate acquisition in Prochlorococcus. The ISME journal, 9(5), 1195-1207.",,
N,CK_00056735,nadB2,,,,,,
N,CK_00001676,napA/nrtP,nitrate/nitrite,nitrate/nitrite transport,"Martiny AC, Kathuria S, Berube PM. (2009). Widespread metabolic potential for nitrite and nitrate assimilation among Prochlorococcus ecotypes. Proc Natl Acad Sci USA 106: 10787-10792.","Wang et al., 2000","Bird & Wyman, 2003","Berube, P. M., Biller, S. J., Kent, A. G., Berta-Thompson, J. W., Roggensack, S. E., Roache-Johnson, K. H., ... & Chisholm, S. W. (2015). Physiology and evolution of nitrate acquisition in Prochlorococcus. The ISME journal, 9(5), 1195-1207."
N,CK_00001675,narB,nitrate,nitrate reduction to nitrite,"Martiny AC, Kathuria S, Berube PM. (2009). Widespread metabolic potential for nitrite and nitrate assimilation among Prochlorococcus ecotypes. Proc Natl Acad Sci USA 106: 10787-10792.","Berube, P. M., Biller, S. J., Kent, A. G., Berta-Thompson, J. W., Roggensack, S. E., Roache-Johnson, K. H., ... & Chisholm, S. W. (2015). Physiology and evolution of nitrate acquisition in Prochlorococcus. The ISME journal, 9(5), 1195-1207.",,
N,CK_00001674,narX1,,unknown function,"Martiny AC, Kathuria S, Berube PM. (2009). Widespread metabolic potential for nitrite and nitrate assimilation among Prochlorococcus ecotypes. Proc Natl Acad Sci USA 106: 10787-10792.","Berube, P. M., Biller, S. J., Kent, A. G., Berta-Thompson, J. W., Roggensack, S. E., Roache-Johnson, K. H., ... & Chisholm, S. W. (2015). Physiology and evolution of nitrate acquisition in Prochlorococcus. The ISME journal, 9(5), 1195-1207.",,
N,CK_00001989,narX2,,unknown function,"Martiny AC, Kathuria S, Berube PM. (2009). Widespread metabolic potential for nitrite and nitrate assimilation among Prochlorococcus ecotypes. Proc Natl Acad Sci USA 106: 10787-10792.","Berube, P. M., Biller, S. J., Kent, A. G., Berta-Thompson, J. W., Roggensack, S. E., Roache-Johnson, K. H., ... & Chisholm, S. W. (2015). Physiology and evolution of nitrate acquisition in Prochlorococcus. The ISME journal, 9(5), 1195-1207.",,
