nutrient,gene_name,organism_name,locus_tag
N,ntcA,Prochlorococcus MED4,PMM0246
N,ntcA,Prochlorococcus MIT9312,PMT9312_0248
N,ntcA,Prochlorococcus MIT9313,PMT1831
N,ntcA,Prochlorococcus NATL2A,PMN2A_1612
N,glnA,Prochlorococcus MED4,PMM0920
N,glnA,Prochlorococcus MIT9312,PMT9312_0880
N,glnA,Prochlorococcus MIT9313,PMT0601
N,glnA,Prochlorococcus NATL2A,PMN2A_0141
N,amtB/amt1,Prochlorococcus MED4,PMM0263
N,amtB/amt1,Prochlorococcus MIT9312,PMT9312_0265
N,amtB/amt1,Prochlorococcus MIT9313,PMT1853
N,amtB/amt1,Prochlorococcus NATL2A,PMN2A_1629
N,ureA,Prochlorococcus MED4,PMM0965
N,ureA,Prochlorococcus MIT9312,PMT9312_0834
N,ureA,Prochlorococcus MIT9313,PMT2234
N,ureA,Prochlorococcus NATL2A,PMN2A_1053
P,pstS,Prochlorococcus MED4,PMM0710
P,pstS,Prochlorococcus MIT9312,PMT9312_0722
P,pstS,Prochlorococcus MIT9313,PMT0993
P,pstS,Prochlorococcus NATL2A,PMN2A_0441
P,phoA,Prochlorococcus MED4,PMM0708
P,phoA,Prochlorococcus MIT9312,PMT9312_0720
P,phoA,Prochlorococcus NATL2A,PMN2A_0439
P,phoB,Prochlorococcus MED4,PMM0705
P,phoB,Prochlorococcus MIT9312,PMT9312_0717
P,phoB,Prochlorococcus MIT9313,PMT0994
P,phoB,Prochlorococcus NATL2A,PMN2A_0436
P,phoR,Prochlorococcus MED4,PMM0706
P,phoR,Prochlorococcus MIT9312,PMT9312_0718
P,phoR,Prochlorococcus MIT9313,PMT_0997
P,phoR,Prochlorococcus NATL2A,PMN2A_0437
