gene_name,n_or_p,experiment_id,nutrient,organism_name,match_type,locus_tag,status,log2fc,padj,timepoint
nadB2,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,day 14
natF,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,day 14
natG,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,day 14
natH,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,day 14
focA,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,day 14
nirA,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,day 14
nirX,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,day 14
gdhA,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,day 14
amtB/amt1,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0263,not_significant,0.270531654357914,0.395195546159753,day 14
cynA,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0370,significant_up,2.09205468495687,3.06387677674992e-06,day 14
cynB,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0371,not_significant,1.27374362945557,0.16176371197448,day 14
cynD,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0372,significant_up,1.57325267791748,0.0006064934109148,day 14
cynS,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0373,significant_up,1.30489826202393,0.0347277383696124,day 14
nadB,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0100,not_significant,-0.608890851338705,0.0141612763486772,day 14
thiO,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0047,not_significant,0.231342633565267,0.494856391360731,day 14
ureA,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0965,significant_up,1.60331058502197,0.0107429971839741,day 14
ureB,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0964,not_significant,0.797797203063965,0.0423704890111036,day 14
ureC,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0963,not_significant,0.63168239593506,0.0274045512638865,day 14
ureD,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0966,not_significant,0.335178057352702,0.379002366032333,day 14
ureE,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0967,not_significant,0.165201505025227,0.793443999717033,day 14
ureF,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0968,no_data_at_timepoint,,,day 14
ureG,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0969,not_significant,0.301262855529785,0.601990374792778,day 14
ntcA,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0246,significant_up,1.86500326792399,0.0002207182174203,day 14
pipX,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0393,significant_up,1.00702953338623,0.0164797999456599,day 14
glnA,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0920,significant_up,2.12048435211182,8.88446794862496e-05,day 14
glsF,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,matched,PMM1512,not_significant,0.209834098815917,0.487368119242069,day 14
urtA,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0970,not_significant,0.82442315419515,0.0039027325118359,day 14
urtC,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0972,not_significant,0.462238629659016,0.354075856391703,day 14
urtD,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0973,not_significant,0.291469891866048,0.460565022183742,day 14
urtE,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0974,not_significant,0.451292355855306,0.182253959680862,day 14
phoA,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0708,not_significant,0.332896232604981,0.300430736772697,day 14
PMM707,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0707,no_data_at_timepoint,,,day 14
PMM721,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0721,not_significant,0.7079439163208,0.293671351250256,day 14
acr3/arsB,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0716,no_data_at_timepoint,,,day 14
arsR,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0714,no_data_at_timepoint,,,day 14
chrA,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0711,no_data_at_timepoint,,,day 14
gap3,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0713,not_significant,0.353352546691895,0.157381533320451,day 14
mfs,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0712,not_significant,0.885718981424962,0.292653743430405,day 14
phoB,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0705,not_significant,0.418107032775879,0.360417156733899,day 14
phoE,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0709,not_significant,0.0266338984171535,0.973840781333356,day 14
phoR,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0706,not_significant,0.0025955835978195,0.993957693286499,day 14
ptrA,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0718,no_data_at_timepoint,,,day 14
unkP1,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM1878,no_data_at_timepoint,,,day 14
unkP2,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0715,not_significant,0.0870059331258104,0.933367413011878,day 14
unkP3,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0717,no_data_at_timepoint,,,day 14
unkP4,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM1880,no_data_at_timepoint,,,day 14
unkP5,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0720,no_data_at_timepoint,,,day 14
PMM719,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0719,significant_up,1.44434960683187,0.0024288920945619,day 14
PMM722,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0722,not_significant,1.15018240610758,0.124419513591498,day 14
phnD,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0673,significant_down,-3.18140761057536,2.49799626876073e-06,day 14
ppA,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0494,not_significant,0.111374855041508,0.708154480356312,day 14
ppK,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM1696,not_significant,0.201471010843913,0.610409549745909,day 14
ppX,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0457,not_significant,0.411115328470865,0.139321558215887,day 14
pstA,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0724,not_significant,-0.166290601094565,0.816668469327331,day 14
pstB,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0725,not_significant,0.298630078633626,0.370215395464276,day 14
pstC,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0723,not_significant,-0.0218585332234702,0.978301654109632,day 14
pstS,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0710,not_significant,0.18218199412028,0.49496873506977,day 14
sqdB,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM1665,not_significant,-0.146049181620283,0.700094286013543,day 14
phnC,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0672,not_significant,0.281537055969238,0.5936848740027,day 14
phnE,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0671,not_significant,0.316810290018724,0.654161913195909,day 14
PsiP1,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,Prochlorococcus MED4,cross,PMM1416,not_significant,0.272650718688967,0.627727960978442,day 14
nadB2,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,
natF,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,
natG,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,
natH,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,
focA,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,
nirA,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,
nirX,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,
gdhA,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,
amtB/amt1,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0263,significant_up,3.8635086439112745,7.801311428232697e-10,
cynA,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0370,significant_up,5.158630264411528,6.899092611446335e-10,
cynB,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0371,significant_up,4.279566443092617,2.9550592954568683e-10,
cynD,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0372,significant_up,2.981071492685053,2.4777048908969736e-11,
cynS,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0373,not_significant,0.7777349901718181,0.0941706523664379,
nadB,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0100,not_significant,0.7835340635894691,0.0014793620645854,
thiO,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0047,not_significant,0.8102821392956102,0.0070307728850213,
ureA,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0965,significant_up,2.264438881479556,0.0002324155619118,
ureB,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0964,significant_up,2.1014755889527947,1.3632077421037737e-05,
ureC,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0963,significant_up,1.3686487195269106,1.0856378755887778e-06,
ureD,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0966,not_significant,0.5363911542401613,0.1701340905607276,
ureE,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0967,not_significant,0.3434571839756931,0.4134216575839733,
ureF,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0968,not_significant,-0.5204688529722536,0.1190139421048952,
ureG,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0969,not_significant,0.9814433301071968,0.0057525757398383,
ntcA,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0246,significant_up,3.352117316421244,1.0044699427936916e-05,
pipX,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0393,not_significant,0.0746086564458916,0.8857731999738403,
glnA,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0920,significant_up,3.3569768863566645,7.395965792256581e-06,
glsF,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,matched,PMM1512,significant_up,2.529728484721897,6.0856483158426845e-09,
urtA,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0970,significant_up,2.6694942279740563,0.0001935099423896,
urtC,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0972,not_significant,0.7696813665292588,0.073232218770298,
urtD,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0973,significant_up,1.0075126293068315,0.0278893507331073,
urtE,N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,matched,PMM0974,significant_up,1.3202410768900066,0.0055362407899833,
phoA,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0708,not_significant,-0.9037284661205786,0.0118757498829612,
PMM707,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0707,significant_up,1.4979424572052362,3.5051260320291755e-08,
PMM721,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0721,significant_up,1.4181845616632252,0.011797954092898,
acr3/arsB,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0716,not_significant,-0.2099762157876589,0.6188683836678219,
arsR,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0714,significant_up,4.268064080975516,3.0605134169689046e-17,
chrA,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0711,not_significant,0.619803074187042,0.2172936968668701,
gap3,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0713,not_significant,0.2967648878526674,0.299486703197235,
mfs,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0712,not_significant,0.2163262043006789,0.5219181954145464,
phoB,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0705,significant_down,-1.1371656454925427,0.0031858647406717,
phoE,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0709,significant_up,2.7888866892622226,1.656203162091998e-15,
phoR,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0706,not_significant,-0.9020615042254247,0.021637601249755,
ptrA,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0718,not_significant,2.6731124656546674,0.1843597599558331,
unkP1,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM1878,no_data_at_timepoint,,,
unkP2,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0715,significant_up,1.255022371349108,0.0018855970326929,
unkP3,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0717,not_significant,1.4771207844965373,0.0870689361567574,
unkP4,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM1880,not_significant,-0.2895349227917884,0.7074523000766008,
unkP5,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0720,not_significant,1.33742355234521,0.2027049486218243,
PMM719,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0719,significant_up,1.3137504893600755,0.014588162129705,
PMM722,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0722,not_significant,0.0253221449039458,0.9320097489872556,
phnD,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0673,significant_down,-2.623674416917959,1.3642816337334062e-08,
ppA,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0494,significant_down,-3.307073447134965,7.737338187839411e-17,
