gene_name,n_or_p,n_tested,n_up,n_down,pct_up,pct_down
PMM719,P,5,4,0,80.0,0.0
PMM721,P,4,2,0,50.0,0.0
gap3,P,7,3,0,42.857142857142854,0.0
pstC,P,7,3,0,42.857142857142854,0.0
PMM707,P,5,2,0,40.0,0.0
PsiP1,P,5,2,0,40.0,0.0
pstS,P,10,4,4,40.0,40.0
phoB,P,8,3,1,37.5,12.5
ptrA,P,3,1,0,33.333333333333336,0.0
unkP5,P,3,1,0,33.333333333333336,0.0
mfs,P,7,2,0,28.571428571428573,0.0
phoA,P,7,2,0,28.571428571428573,0.0
pstA,P,7,2,0,28.571428571428573,0.0
arsR,P,4,1,0,25.0,0.0
phoE,P,5,1,0,20.0,0.0
phoR,P,6,1,0,16.666666666666668,0.0
pstB,P,7,1,0,14.285714285714286,0.0
PMM722,P,4,0,0,0.0,0.0
acr3/arsB,P,2,0,0,0.0,0.0
chrA,P,2,0,0,0.0,0.0
phnC,P,4,0,0,0.0,0.0
phnD,P,4,0,3,0.0,75.0
phnE,P,4,0,0,0.0,0.0
ppA,P,6,0,4,0.0,66.66666666666667
ppK,P,4,0,0,0.0,0.0
ppX,P,4,0,1,0.0,25.0
sqdB,P,5,0,2,0.0,40.0
unkP1,P,1,0,0,0.0,0.0
unkP2,P,2,0,0,0.0,0.0
unkP3,P,3,0,0,0.0,0.0
unkP4,P,1,0,0,0.0,0.0
cynA,N,4,4,0,100.0,0.0
cynD,N,3,3,0,100.0,0.0
focA,N,1,1,0,100.0,0.0
nirA,N,1,1,0,100.0,0.0
nirX,N,1,1,0,100.0,0.0
ntcA,N,5,5,0,100.0,0.0
glnA,N,6,5,1,83.33333333333333,16.666666666666668
ureA,N,5,4,0,80.0,0.0
cynB,N,4,3,0,75.0,0.0
ureB,N,5,3,0,60.0,0.0
amtB/amt1,N,5,2,0,40.0,0.0
glsF,N,5,2,0,40.0,0.0
ureC,N,5,2,0,40.0,0.0
ureG,N,5,2,0,40.0,0.0
cynS,N,4,1,0,25.0,0.0
pipX,N,4,1,0,25.0,0.0
urtD,N,4,1,0,25.0,0.0
urtA,N,5,1,0,20.0,0.0
urtE,N,5,1,0,20.0,0.0
gdhA,N,1,0,0,0.0,0.0
nadB,N,4,0,0,0.0,0.0
natF,N,1,0,0,0.0,0.0
natG,N,1,0,0,0.0,0.0
natH,N,1,0,0,0.0,0.0
thiO,N,4,0,0,0.0,0.0
ureD,N,5,0,0,0.0,0.0
ureE,N,4,0,0,0.0,0.0
ureF,N,3,0,0,0.0,0.0
urtC,N,4,0,0,0.0,0.0
