locus_tag,n_tested,n_up,pct_up
PMM0001,3,1,33.333333333333336
PMM0002,3,0,0.0
PMM0003,3,1,33.333333333333336
PMM0004,3,1,33.333333333333336
PMM0005,3,1,33.333333333333336
PMM0006,3,1,33.333333333333336
PMM0007,2,1,50.0
PMM0008,3,0,0.0
PMM0009,3,0,0.0
PMM0010,3,0,0.0
PMM0011,3,0,0.0
PMM0012,3,1,33.333333333333336
PMM0013,3,0,0.0
PMM0014,3,1,33.333333333333336
PMM0015,3,0,0.0
PMM0016,3,0,0.0
PMM0017,3,0,0.0
PMM0018,2,0,0.0
PMM0019,3,1,33.333333333333336
PMM0020,3,0,0.0
PMM0021,3,0,0.0
PMM0022,3,0,0.0
PMM0023,3,0,0.0
PMM0024,3,0,0.0
PMM0025,3,0,0.0
PMM0026,3,0,0.0
PMM0027,3,0,0.0
PMM0028,3,1,33.333333333333336
PMM0029,3,0,0.0
PMM0030,2,2,100.0
PMM0031,2,0,0.0
PMM0032,3,2,66.66666666666667
PMM0033,3,2,66.66666666666667
PMM0034,2,0,0.0
PMM0035,3,3,100.0
PMM0036,3,0,0.0
PMM0037,3,1,33.333333333333336
PMM0038,3,0,0.0
PMM0039,3,0,0.0
PMM0040,3,0,0.0
PMM0041,3,0,0.0
PMM0042,3,0,0.0
PMM0043,3,0,0.0
PMM0044,3,0,0.0
PMM0045,3,1,33.333333333333336
PMM0046,3,0,0.0
PMM0048,3,0,0.0
PMM0049,3,0,0.0
PMM0050,3,1,33.333333333333336
PMM0051,3,0,0.0
PMM0052,3,0,0.0
PMM0053,3,1,33.333333333333336
PMM0054,3,0,0.0
PMM0055,3,1,33.333333333333336
PMM0056,2,0,0.0
PMM0057,3,0,0.0
PMM0058,3,1,33.333333333333336
PMM0059,3,0,0.0
PMM0060,3,0,0.0
PMM0061,3,0,0.0
PMM0062,1,0,0.0
PMM0063,3,0,0.0
PMM0064,2,0,0.0
PMM0065,3,0,0.0
PMM0066,2,0,0.0
PMM0067,3,1,33.333333333333336
PMM0068,3,0,0.0
PMM0069,3,0,0.0
PMM0070,3,0,0.0
PMM0071,3,0,0.0
PMM0072,3,1,33.333333333333336
PMM0073,3,1,33.333333333333336
PMM0074,3,0,0.0
PMM0075,3,2,66.66666666666667
PMM0076,3,0,0.0
PMM0077,3,0,0.0
PMM0078,3,0,0.0
PMM0079,3,0,0.0
PMM0080,3,0,0.0
PMM0081,3,0,0.0
PMM0082,3,0,0.0
PMM0083,3,0,0.0
PMM0084,3,1,33.333333333333336
PMM0085,3,0,0.0
PMM0086,2,2,100.0
PMM0087,2,2,100.0
PMM0088,3,1,33.333333333333336
PMM0089,3,1,33.333333333333336
PMM0090,3,1,33.333333333333336
PMM0091,3,1,33.333333333333336
PMM0092,3,0,0.0
PMM0093,3,0,0.0
