gene_name,n_or_p,nutrient,n_tested,n_up,n_down,pct_up,pct_down
PMM707,P,nitrogen,3,1,0,33.333333333333336,0.0
PMM707,P,phosphorus,2,2,0,100.0,0.0
PMM719,P,nitrogen,4,3,0,75.0,0.0
PMM719,P,phosphorus,1,1,0,100.0,0.0
PMM721,P,nitrogen,3,1,0,33.333333333333336,0.0
PMM721,P,phosphorus,1,1,0,100.0,0.0
PMM722,P,nitrogen,4,0,0,0.0,0.0
PMM722,P,phosphorus,1,0,0,0.0,0.0
PsiP1,P,nitrogen,4,1,0,25.0,0.0
PsiP1,P,phosphorus,1,1,0,100.0,0.0
acr3/arsB,P,nitrogen,2,0,0,0.0,0.0
acr3/arsB,P,phosphorus,2,0,0,0.0,0.0
amtB/amt1,N,nitrogen,5,2,0,40.0,0.0
amtB/amt1,N,phosphorus,3,0,0,0.0,0.0
arsR,P,nitrogen,4,1,0,25.0,0.0
arsR,P,phosphorus,3,0,0,0.0,0.0
chrA,P,nitrogen,2,0,0,0.0,0.0
chrA,P,phosphorus,2,0,0,0.0,0.0
cynA,N,nitrogen,4,4,0,100.0,0.0
cynA,N,phosphorus,1,0,0,0.0,0.0
cynB,N,nitrogen,4,3,0,75.0,0.0
cynB,N,phosphorus,1,0,0,0.0,0.0
cynD,N,nitrogen,3,3,0,100.0,0.0
cynD,N,phosphorus,1,0,0,0.0,0.0
cynS,N,nitrogen,4,1,0,25.0,0.0
cynS,N,phosphorus,2,0,0,0.0,0.0
focA,N,nitrogen,1,1,0,100.0,0.0
focA,N,phosphorus,2,0,0,0.0,0.0
gap3,P,nitrogen,4,0,0,0.0,0.0
gap3,P,phosphorus,3,3,0,100.0,0.0
gdhA,N,nitrogen,1,0,0,0.0,0.0
gdhA,N,phosphorus,1,0,0,0.0,0.0
glnA,N,nitrogen,5,5,0,100.0,0.0
glnA,N,phosphorus,4,0,1,0.0,25.0
glsF,N,nitrogen,5,2,0,40.0,0.0
glsF,N,phosphorus,3,0,0,0.0,0.0
mfs,P,nitrogen,4,0,0,0.0,0.0
mfs,P,phosphorus,3,3,0,100.0,0.0
nadB,N,nitrogen,4,0,0,0.0,0.0
nadB,N,phosphorus,3,0,0,0.0,0.0
natF,N,nitrogen,1,0,0,0.0,0.0
natF,N,phosphorus,2,0,0,0.0,0.0
natG,N,nitrogen,1,0,0,0.0,0.0
natG,N,phosphorus,2,0,0,0.0,0.0
natH,N,nitrogen,1,0,0,0.0,0.0
natH,N,phosphorus,2,0,0,0.0,0.0
nirA,N,nitrogen,1,1,0,100.0,0.0
nirA,N,phosphorus,2,0,0,0.0,0.0
nirX,N,nitrogen,1,1,0,100.0,0.0
nirX,N,phosphorus,2,0,0,0.0,0.0
ntcA,N,nitrogen,5,5,0,100.0,0.0
ntcA,N,phosphorus,3,0,0,0.0,0.0
phnC,P,nitrogen,4,0,0,0.0,0.0
phnC,P,phosphorus,3,0,0,0.0,0.0
phnD,P,nitrogen,4,0,3,0.0,75.0
phnD,P,phosphorus,3,0,0,0.0,0.0
phnE,P,nitrogen,4,0,0,0.0,0.0
phnE,P,phosphorus,3,0,0,0.0,0.0
phoA,P,nitrogen,4,0,0,0.0,0.0
phoA,P,phosphorus,3,3,0,100.0,0.0
phoB,P,nitrogen,5,0,1,0.0,20.0
phoB,P,phosphorus,3,3,0,100.0,0.0
phoE,P,nitrogen,5,1,0,20.0,0.0
phoE,P,phosphorus,4,4,0,100.0,0.0
phoR,P,nitrogen,4,0,0,0.0,0.0
phoR,P,phosphorus,3,2,0,66.66666666666667,0.0
pipX,N,nitrogen,4,1,0,25.0,0.0
pipX,N,phosphorus,3,0,0,0.0,0.0
ppA,P,nitrogen,5,0,3,0.0,60.0
ppA,P,phosphorus,4,0,1,0.0,25.0
ppK,P,nitrogen,4,0,0,0.0,0.0
ppK,P,phosphorus,3,0,0,0.0,0.0
ppX,P,nitrogen,4,0,1,0.0,25.0
ppX,P,phosphorus,3,0,0,0.0,0.0
pstA,P,nitrogen,4,0,0,0.0,0.0
pstA,P,phosphorus,3,3,0,100.0,0.0
pstB,P,nitrogen,5,0,0,0.0,0.0
