organism_name,group,true_orphan_count,unknown_function_count
Prochlorococcus AS9601,N_sensitive,5,5
Prochlorococcus MED4,N_sensitive,5,5
Prochlorococcus MIT0604,N_sensitive,14,10
Prochlorococcus MIT1314,N_sensitive,146,73
Prochlorococcus MIT1327,mixed,95,76
Prochlorococcus MIT9202,N_sensitive,21,16
Prochlorococcus MIT9215,N_sensitive,16,15
Prochlorococcus MIT9301,mixed,8,7
Prochlorococcus MIT9312,N_sensitive,3,2
Prochlorococcus MIT9313,mixed,83,72
Prochlorococcus MIT9515,N_sensitive,23,21
Prochlorococcus NATL1A,N_sensitive,18,18
Prochlorococcus NATL2A,mixed,34,32
Prochlorococcus PAC1,mixed,38,32
Prochlorococcus SB,mixed,9,5
