organism_name,clade,ecotype_group,sensitivity_group,gene_count
Prochlorococcus AS9601,HLII,HL,N_sensitive,1951
Prochlorococcus MED4,HLI,HL,N_sensitive,1976
Prochlorococcus MIT0604,HLII,HL,N_sensitive,2137
Prochlorococcus MIT1314,HLII,HL,N_sensitive,1883
Prochlorococcus MIT1327,LLIV,LL,mixed,2452
Prochlorococcus MIT9202,HLII,HL,N_sensitive,2027
Prochlorococcus MIT9215,HLII,HL,N_sensitive,2030
Prochlorococcus MIT9301,HLII,HL,mixed,1935
Prochlorococcus MIT9312,HLII,HL,N_sensitive,1978
Prochlorococcus MIT9313,LLIV,LL,mixed,2948
Prochlorococcus MIT9515,HLI,HL,N_sensitive,1949
Prochlorococcus NATL1A,LLI,LL,N_sensitive,2226
Prochlorococcus NATL2A,LLI,LL,mixed,2214
Prochlorococcus PAC1,LLI,LL,mixed,2370
Prochlorococcus SB,HLII,HL,mixed,1977
