n_or_p,gene_name,cyanorak_id,organism_name,n_members,member_loci,member_products,ambiguous
N,amtB/amt1,CK_00000244,Prochlorococcus MED4,1,PMM0263,PMM0263=ammonium transporter,False
N,amtB/amt1,CK_00000244,Prochlorococcus MIT9312,1,PMT9312_0265,PMT9312_0265=ammonium transporter,False
N,amtB/amt1,CK_00000244,Prochlorococcus MIT9313,1,PMT1853,PMT1853=ammonium transporter,False
N,amtB/amt1,CK_00000244,Prochlorococcus NATL2A,1,PMN2A_1629,PMN2A_1629=ammonium transporter,False
N,amt2,CK_00008701,Prochlorococcus MED4,0,,,False
N,amt2,CK_00008701,Prochlorococcus MIT9312,0,,,False
N,amt2,CK_00008701,Prochlorococcus MIT9313,0,,,False
N,amt2,CK_00008701,Prochlorococcus NATL2A,0,,,False
N,cynA,CK_00002165,Prochlorococcus MED4,1,PMM0370,"PMM0370=cyanate ABC transporter, substrate-binding protein",False
N,cynA,CK_00002165,Prochlorococcus MIT9312,0,,,False
N,cynA,CK_00002165,Prochlorococcus MIT9313,0,,,False
N,cynA,CK_00002165,Prochlorococcus NATL2A,0,,,False
N,cynB,CK_00002166,Prochlorococcus MED4,1,PMM0371,"PMM0371=cyanate ABC transporter, permease protein",False
N,cynB,CK_00002166,Prochlorococcus MIT9312,0,,,False
N,cynB,CK_00002166,Prochlorococcus MIT9313,0,,,False
N,cynB,CK_00002166,Prochlorococcus NATL2A,0,,,False
N,cynD,CK_00000003,Prochlorococcus MED4,1,PMM0372,PMM0372=cyanate ABC transporter ATP-binding protein,False
N,cynD,CK_00000003,Prochlorococcus MIT9312,0,,,False
N,cynD,CK_00000003,Prochlorococcus MIT9313,0,,,False
N,cynD,CK_00000003,Prochlorococcus NATL2A,0,,,False
N,cynS,CK_00001552,Prochlorococcus MED4,1,PMM0373,PMM0373=cyanate hydratase,False
N,cynS,CK_00001552,Prochlorococcus MIT9312,0,,,False
N,cynS,CK_00001552,Prochlorococcus MIT9313,0,,,False
N,cynS,CK_00001552,Prochlorococcus NATL2A,1,PMN2A_1390,PMN2A_1390=cyanate hydratase,False
N,cynH,CK_00003051,Prochlorococcus MED4,0,,,False
N,cynH,CK_00003051,Prochlorococcus MIT9312,0,,,False
N,cynH,CK_00003051,Prochlorococcus MIT9313,0,,,False
N,cynH,CK_00003051,Prochlorococcus NATL2A,0,,,False
N,cynH2,CK_00053828,Prochlorococcus MED4,0,,,False
N,cynH2,CK_00053828,Prochlorococcus MIT9312,0,,,False
N,cynH2,CK_00053828,Prochlorococcus MIT9313,0,,,False
N,cynH2,CK_00053828,Prochlorococcus NATL2A,0,,,False
N,focA,CK_00001669,Prochlorococcus MED4,0,,,False
N,focA,CK_00001669,Prochlorococcus MIT9312,0,,,False
N,focA,CK_00001669,Prochlorococcus MIT9313,1,PMT2240,"PMT2240=nitrite transporter, FNT family",False
N,focA,CK_00001669,Prochlorococcus NATL2A,1,PMN2A_1299,"PMN2A_1299=nitrite transporter, FNT family",False
N,moaA,CK_00001678,Prochlorococcus MED4,0,,,False
N,moaA,CK_00001678,Prochlorococcus MIT9312,0,,,False
N,moaA,CK_00001678,Prochlorococcus MIT9313,0,,,False
N,moaA,CK_00001678,Prochlorococcus NATL2A,0,,,False
N,moaB,CK_00001670,Prochlorococcus MED4,0,,,False
N,moaB,CK_00001670,Prochlorococcus MIT9312,0,,,False
N,moaB,CK_00001670,Prochlorococcus MIT9313,0,,,False
N,moaB,CK_00001670,Prochlorococcus NATL2A,0,,,False
N,moaC,CK_00001673,Prochlorococcus MED4,0,,,False
N,moaC,CK_00001673,Prochlorococcus MIT9312,0,,,False
N,moaC,CK_00001673,Prochlorococcus MIT9313,0,,,False
N,moaC,CK_00001673,Prochlorococcus NATL2A,0,,,False
N,moaD,CK_00001749,Prochlorococcus MED4,0,,,False
N,moaD,CK_00001749,Prochlorococcus MIT9312,0,,,False
N,moaD,CK_00001749,Prochlorococcus MIT9313,0,,,False
N,moaD,CK_00001749,Prochlorococcus NATL2A,0,,,False
N,moaE,CK_00001671,Prochlorococcus MED4,0,,,False
N,moaE,CK_00001671,Prochlorococcus MIT9312,0,,,False
N,moaE,CK_00001671,Prochlorococcus MIT9313,0,,,False
N,moaE,CK_00001671,Prochlorococcus NATL2A,0,,,False
N,mobA,CK_00001677,Prochlorococcus MED4,0,,,False
N,mobA,CK_00001677,Prochlorococcus MIT9312,0,,,False
N,mobA,CK_00001677,Prochlorococcus MIT9313,0,,,False
N,mobA,CK_00001677,Prochlorococcus NATL2A,0,,,False
N,moeA,CK_00001672,Prochlorococcus MED4,0,,,False
N,moeA,CK_00001672,Prochlorococcus MIT9312,0,,,False
N,moeA,CK_00001672,Prochlorococcus MIT9313,0,,,False
N,moeA,CK_00001672,Prochlorococcus NATL2A,0,,,False
N,nadB,CK_00000196,Prochlorococcus MED4,1,PMM0100,PMM0100=L-aspartate oxidase,False
N,nadB,CK_00000196,Prochlorococcus MIT9312,1,PMT9312_0104,PMT9312_0104=L-aspartate oxidase,False
