n_or_p,gene_name,cyanorak_id,organism_name,locus_tag,status,n_group_members_in_strain,all_members_in_strain
N,amtB/amt1,CK_00000244,Prochlorococcus MED4,PMM0263,resolved,1.0,PMM0263
N,amtB/amt1,CK_00000244,Prochlorococcus MIT9312,PMT9312_0265,resolved,1.0,PMT9312_0265
N,amtB/amt1,CK_00000244,Prochlorococcus MIT9313,PMT1853,resolved,1.0,PMT1853
N,amtB/amt1,CK_00000244,Prochlorococcus NATL2A,PMN2A_1629,resolved,1.0,PMN2A_1629
N,amt2,CK_00008701,Prochlorococcus MED4,,not_matched_in_strain,0.0,
N,amt2,CK_00008701,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
N,amt2,CK_00008701,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
N,amt2,CK_00008701,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
N,cynA,CK_00002165,Prochlorococcus MED4,PMM0370,resolved,1.0,PMM0370
N,cynA,CK_00002165,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
N,cynA,CK_00002165,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
N,cynA,CK_00002165,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
N,cynB,CK_00002166,Prochlorococcus MED4,PMM0371,resolved,1.0,PMM0371
N,cynB,CK_00002166,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
N,cynB,CK_00002166,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
N,cynB,CK_00002166,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
N,cynD,CK_00000003,Prochlorococcus MED4,PMM0372,resolved,1.0,PMM0372
N,cynD,CK_00000003,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
N,cynD,CK_00000003,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
N,cynD,CK_00000003,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
N,cynS,CK_00001552,Prochlorococcus MED4,PMM0373,resolved,1.0,PMM0373
N,cynS,CK_00001552,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
N,cynS,CK_00001552,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
N,cynS,CK_00001552,Prochlorococcus NATL2A,PMN2A_1390,resolved,1.0,PMN2A_1390
N,cynH,CK_00003051,Prochlorococcus MED4,,not_matched_in_strain,0.0,
