n_or_p,gene_name,cyanorak_id,organism_name,locus_tag,status,has_evidence,de_row_count,note
N,amtB/amt1,CK_00000244,Prochlorococcus MED4,PMM0263,resolved,True,13,
N,cynA,CK_00002165,Prochlorococcus MED4,PMM0370,resolved,True,13,
N,cynB,CK_00002166,Prochlorococcus MED4,PMM0371,resolved,True,13,
N,cynD,CK_00000003,Prochlorococcus MED4,PMM0372,resolved,True,10,
N,cynS,CK_00001552,Prochlorococcus MED4,PMM0373,resolved,True,13,
N,nadB,CK_00000196,Prochlorococcus MED4,PMM0100,resolved,True,10,
N,thiO,CK_00000417,Prochlorococcus MED4,PMM0047,resolved,True,10,
N,ureA,CK_00001360,Prochlorococcus MED4,PMM0965,resolved,True,13,
N,ureB,CK_00001359,Prochlorococcus MED4,PMM0964,resolved,True,13,
N,ureC,CK_00001358,Prochlorococcus MED4,PMM0963,resolved,True,13,
N,ureD,CK_00001361,Prochlorococcus MED4,PMM0966,resolved,True,13,
N,ureE,CK_00001362,Prochlorococcus MED4,PMM0967,resolved,True,10,
N,ureF,CK_00001363,Prochlorococcus MED4,PMM0968,resolved,True,7,
N,ureG,CK_00001364,Prochlorococcus MED4,PMM0969,resolved,True,13,
N,ntcA,CK_00000468,Prochlorococcus MED4,PMM0246,resolved,True,13,
N,pipX,CK_00001044,Prochlorococcus MED4,PMM0393,resolved,True,10,
N,glnA,CK_00000103,Prochlorococcus MED4,PMM0920,resolved,True,13,
N,glsF,CK_00000134,Prochlorococcus MED4,PMM1512,resolved,True,13,
N,urtA,CK_00008074,Prochlorococcus MED4,PMM0974,resolved,True,13,
N,urtC,CK_00001366,Prochlorococcus MED4,PMM0972,resolved,True,10,
N,urtD,CK_00001367,Prochlorococcus MED4,PMM0973,resolved,True,10,
N,urtE,CK_00008074,Prochlorococcus MED4,PMM0974,resolved,True,13,
P,phoA,CK_00003430,Prochlorococcus MED4,PMM0708,resolved,True,18,
P,PMM707,CK_00003429,Prochlorococcus MED4,PMM0707,resolved,True,15,
P,PMM721,CK_00003437,Prochlorococcus MED4,PMM0721,resolved,True,15,
P,acr3/arsB,CK_00001815,Prochlorococcus MED4,PMM0716,resolved,True,7,
P,arsR,CK_00001532,Prochlorococcus MED4,PMM0714,resolved,True,9,
P,chrA,CK_00002826,Prochlorococcus MED4,PMM0711,resolved,True,7,
P,gap3,CK_00008093,Prochlorococcus MED4,PMM0713,resolved,True,15,
P,mfs,CK_00001248,Prochlorococcus MED4,PMM0712,resolved,True,15,
P,phoB,CK_00008015,Prochlorococcus MED4,PMM0705,resolved,True,18,
P,phoE,CK_00002330,Prochlorococcus MED4,PMM1121,resolved,True,13,
P,phoR,CK_00001531,Prochlorococcus MED4,PMM0706,resolved,True,15,
P,ptrA,CK_00056804,Prochlorococcus MED4,PMM0718,resolved,True,12,
P,unkP1,CK_00045417,Prochlorococcus MED4,PMM1878,resolved,False,0,
P,unkP2,CK_00003432,Prochlorococcus MED4,PMM2011,resolved,True,4,
P,unkP3,CK_00052621,Prochlorococcus MED4,PMM0717,resolved,True,10,
P,unkP4,CK_00045880,Prochlorococcus MED4,PMM1880,resolved,True,1,
P,unkP5,CK_00003436,Prochlorococcus MED4,PMM0720,resolved,True,12,
P,PMM719,CK_00044628,Prochlorococcus MED4,PMM0719,resolved,True,17,
P,PMM722,CK_00054292,Prochlorococcus MED4,PMM0722,resolved,True,13,
P,phnD,CK_00000860,Prochlorococcus MED4,PMM0673,resolved,True,10,
P,ppA,CK_00000642,Prochlorococcus MED4,PMM0494,resolved,True,13,
P,ppK,CK_00000383,Prochlorococcus MED4,PMM1696,resolved,True,10,
P,ppX,CK_00000620,Prochlorococcus MED4,PMM0457,resolved,True,10,
P,pstA,CK_00000165,Prochlorococcus MED4,PMM0724,resolved,True,15,
P,pstB,CK_00000817,Prochlorococcus MED4,PMM0725,resolved,True,13,
P,pstC,CK_00000818,Prochlorococcus MED4,PMM0723,resolved,True,15,
P,pstS,CK_00043821,Prochlorococcus MED4,PMM0710,resolved,True,18,
P,sqdB,CK_00000123,Prochlorococcus MED4,PMM1665,resolved,True,13,
P,phnC,CK_00008048,Prochlorococcus MED4,PMM0672,resolved,True,10,
P,phnE,CK_00000861,Prochlorococcus MED4,PMM0671,resolved,True,10,
P,PsiP1,CK_00002662,Prochlorococcus MED4,PMM1416,resolved,True,18,
N,amtB/amt1,CK_00000244,Prochlorococcus MIT9312,PMT9312_0265,resolved,False,0,
N,nadB,CK_00000196,Prochlorococcus MIT9312,PMT9312_0104,resolved,False,0,
N,nadB2,CK_00056735,Prochlorococcus MIT9312,PMT9312_1354,resolved,False,0,
N,thiO,CK_00000417,Prochlorococcus MIT9312,PMT9312_0048,resolved,False,0,
N,ureA,CK_00001360,Prochlorococcus MIT9312,PMT9312_0834,resolved,False,0,
N,ureB,CK_00001359,Prochlorococcus MIT9312,PMT9312_0835,resolved,False,0,
N,ureC,CK_00001358,Prochlorococcus MIT9312,PMT9312_0836,resolved,False,0,
N,ureD,CK_00001361,Prochlorococcus MIT9312,PMT9312_0833,resolved,False,0,
N,ureE,CK_00001362,Prochlorococcus MIT9312,PMT9312_0832,resolved,False,0,
N,ureF,CK_00001363,Prochlorococcus MIT9312,PMT9312_0831,resolved,False,0,
N,ureG,CK_00001364,Prochlorococcus MIT9312,PMT9312_0830,resolved,False,0,
N,ntcA,CK_00000468,Prochlorococcus MIT9312,PMT9312_0248,resolved,False,0,
N,pipX,CK_00001044,Prochlorococcus MIT9312,PMT9312_0389,resolved,False,0,
N,glnA,CK_00000103,Prochlorococcus MIT9312,PMT9312_0880,resolved,False,0,
N,glsF,CK_00000134,Prochlorococcus MIT9312,PMT9312_1604,resolved,False,0,
N,urtA,CK_00008074,Prochlorococcus MIT9312,PMT9312_0825,resolved,False,0,
N,urtC,CK_00001366,Prochlorococcus MIT9312,PMT9312_0827,resolved,False,0,
N,urtD,CK_00001367,Prochlorococcus MIT9312,PMT9312_0826,resolved,False,0,
N,urtE,CK_00008074,Prochlorococcus MIT9312,PMT9312_0825,resolved,False,0,
N,natF,CK_00001489,Prochlorococcus MIT9312,PMT9312_1168,resolved,False,0,
N,natG,CK_00001624,Prochlorococcus MIT9312,PMT9312_1167,resolved,False,0,
N,natH,CK_00001488,Prochlorococcus MIT9312,PMT9312_1166,resolved,False,0,
P,phoA,CK_00003430,Prochlorococcus MIT9312,PMT9312_0720,resolved,True,1,
P,PMM707,CK_00003429,Prochlorococcus MIT9312,PMT9312_0719,resolved,False,0,
P,arsR,CK_00001532,Prochlorococcus MIT9312,PMT9312_0726,resolved,False,0,
P,chrA,CK_00002826,Prochlorococcus MIT9312,PMT9312_0723,resolved,False,0,
P,gap3,CK_00008093,Prochlorococcus MIT9312,PMT9312_0725,resolved,False,0,
P,mfs,CK_00001248,Prochlorococcus MIT9312,PMT9312_0724,resolved,False,0,
P,phoB,CK_00008015,Prochlorococcus MIT9312,PMT9312_0717,resolved,False,0,
P,phoE,CK_00002330,Prochlorococcus MIT9312,PMT9312_1515,resolved,False,0,
P,phoR,CK_00001531,Prochlorococcus MIT9312,PMT9312_0718,resolved,False,0,
P,unkP1,CK_00045417,Prochlorococcus MIT9312,PMT9312_1857,resolved,False,0,
P,unkP5,CK_00003436,Prochlorococcus MIT9312,PMT9312_1520,resolved,False,0,
P,phnD,CK_00000860,Prochlorococcus MIT9312,PMT9312_0673,resolved,False,0,
P,ppA,CK_00000642,Prochlorococcus MIT9312,PMT9312_0495,resolved,False,0,
P,ppK,CK_00000383,Prochlorococcus MIT9312,PMT9312_1789,resolved,False,0,
P,ppX,CK_00000620,Prochlorococcus MIT9312,PMT9312_0457,resolved,False,0,
P,pstA,CK_00000165,Prochlorococcus MIT9312,PMT9312_0728,resolved,False,0,
P,pstB,CK_00000817,Prochlorococcus MIT9312,PMT9312_0729,resolved,False,0,
P,pstC,CK_00000818,Prochlorococcus MIT9312,PMT9312_0727,resolved,False,0,
P,pstS,CK_00043821,Prochlorococcus MIT9312,PMT9312_0722,resolved,True,1,
P,sqdB,CK_00000123,Prochlorococcus MIT9312,PMT9312_1757,resolved,False,0,
P,phnC,CK_00008048,Prochlorococcus MIT9312,PMT9312_0672,resolved,False,0,
P,phnE,CK_00000861,Prochlorococcus MIT9312,PMT9312_0671,resolved,False,0,
N,amtB/amt1,CK_00000244,Prochlorococcus MIT9313,PMT1853,resolved,True,6,
N,focA,CK_00001669,Prochlorococcus MIT9313,PMT2240,resolved,True,6,
N,nadB,CK_00000196,Prochlorococcus MIT9313,PMT0177,resolved,True,6,
N,nirA,CK_00001355,Prochlorococcus MIT9313,PMT2239,resolved,True,6,
N,nirX,CK_00001553,Prochlorococcus MIT9313,PMT2241,resolved,True,6,
N,thiO,CK_00000417,Prochlorococcus MIT9313,PMT2140,resolved,True,6,
N,ureA,CK_00001360,Prochlorococcus MIT9313,PMT2234,resolved,True,6,
N,ureB,CK_00001359,Prochlorococcus MIT9313,PMT2235,resolved,True,6,
N,ureC,CK_00001358,Prochlorococcus MIT9313,PMT2236,resolved,True,6,
N,ureD,CK_00001361,Prochlorococcus MIT9313,PMT2233,resolved,True,6,
N,ureE,CK_00001362,Prochlorococcus MIT9313,PMT2232,resolved,True,6,
N,ureF,CK_00001363,Prochlorococcus MIT9313,PMT2231,resolved,True,6,
N,ureG,CK_00001364,Prochlorococcus MIT9313,PMT2230,resolved,True,6,
N,ntcA,CK_00000468,Prochlorococcus MIT9313,PMT1831,resolved,True,6,
N,pipX,CK_00001044,Prochlorococcus MIT9313,PMT0205,resolved,True,6,
N,glnA,CK_00000103,Prochlorococcus MIT9313,PMT0601,resolved,True,6,
N,glsF,CK_00000134,Prochlorococcus MIT9313,PMT1777,resolved,True,6,
N,urtA,CK_00008074,Prochlorococcus MIT9313,PMT2225,resolved,True,6,
N,urtC,CK_00001366,Prochlorococcus MIT9313,PMT2227,resolved,True,6,
N,urtD,CK_00001367,Prochlorococcus MIT9313,PMT2226,resolved,True,6,
N,urtE,CK_00008074,Prochlorococcus MIT9313,PMT2225,resolved,True,6,
N,gdhA,CK_00003700,Prochlorococcus MIT9313,PMT0623,resolved,True,6,
N,natF,CK_00001489,Prochlorococcus MIT9313,PMT0897,resolved,True,6,
N,natG,CK_00001624,Prochlorococcus MIT9313,PMT0896,resolved,True,6,
N,natH,CK_00001488,Prochlorococcus MIT9313,PMT0894,resolved,True,6,
P,arsR,CK_00001532,Prochlorococcus MIT9313,PMT1001,resolved,True,6,
P,gap3,CK_00008093,Prochlorococcus MIT9313,PMT1000,resolved,True,10,
P,mfs,CK_00001248,Prochlorococcus MIT9313,PMT0999,resolved,True,10,
P,phoB,CK_00008015,Prochlorococcus MIT9313,PMT0994,resolved,True,10,
P,phoE,CK_00002330,Prochlorococcus MIT9313,PMT_2631,resolved,False,0,
P,phoR,CK_00001531,Prochlorococcus MIT9313,PMT_0997,resolved,True,6,
P,phnD,CK_00000860,Prochlorococcus MIT9313,PMT0780,resolved,True,6,
P,ppA,CK_00000642,Prochlorococcus MIT9313,PMT1275,resolved,True,6,
P,ppK,CK_00000383,Prochlorococcus MIT9313,PMT2245,resolved,True,6,
P,ppX,CK_00000620,Prochlorococcus MIT9313,PMT1327,resolved,True,6,
P,pstA,CK_00000165,Prochlorococcus MIT9313,PMT0701,resolved,True,10,
P,pstB,CK_00000817,Prochlorococcus MIT9313,PMT0700,resolved,True,10,
P,pstC,CK_00000818,Prochlorococcus MIT9313,PMT0702,resolved,True,10,
P,pstS,CK_00043821,Prochlorococcus MIT9313,PMT0993,resolved,True,10,
P,sqdB,CK_00000123,Prochlorococcus MIT9313,PMT0050,resolved,True,6,
P,phnC,CK_00008048,Prochlorococcus MIT9313,PMT0781,resolved,True,6,
P,phnE,CK_00000861,Prochlorococcus MIT9313,PMT0782,resolved,True,6,
N,amtB/amt1,CK_00000244,Prochlorococcus NATL2A,PMN2A_1629,resolved,False,0,
N,cynS,CK_00001552,Prochlorococcus NATL2A,PMN2A_1390,resolved,False,0,
N,focA,CK_00001669,Prochlorococcus NATL2A,PMN2A_1299,resolved,False,0,
N,nadB,CK_00000196,Prochlorococcus NATL2A,PMN2A_1468,resolved,False,0,
N,nirA,CK_00001355,Prochlorococcus NATL2A,PMN2A_1298,resolved,False,0,
N,nirX,CK_00001553,Prochlorococcus NATL2A,PMN2A_1300,resolved,False,0,
N,thiO,CK_00000417,Prochlorococcus NATL2A,PMN2A_1380,resolved,False,0,
N,ureA,CK_00001360,Prochlorococcus NATL2A,PMN2A_1053,resolved,False,0,
N,ureB,CK_00001359,Prochlorococcus NATL2A,PMN2A_1054,resolved,False,0,
N,ureC,CK_00001358,Prochlorococcus NATL2A,PMN2A_1055,resolved,False,0,
N,ureD,CK_00001361,Prochlorococcus NATL2A,PMN2A_1052,resolved,False,0,
N,ureE,CK_00001362,Prochlorococcus NATL2A,PMN2A_1051,resolved,False,0,
N,ureF,CK_00001363,Prochlorococcus NATL2A,PMN2A_1050,resolved,False,0,
N,ureG,CK_00001364,Prochlorococcus NATL2A,PMN2A_1049,resolved,False,0,
N,ntcA,CK_00000468,Prochlorococcus NATL2A,PMN2A_1612,resolved,False,0,
N,pipX,CK_00001044,Prochlorococcus NATL2A,PMN2A_1728,resolved,False,0,
N,glnA,CK_00000103,Prochlorococcus NATL2A,PMN2A_0141,resolved,True,1,
N,glsF,CK_00000134,Prochlorococcus NATL2A,PMN2A_1078,resolved,False,0,
N,urtA,CK_00008074,Prochlorococcus NATL2A,PMN2A_1044,resolved,False,0,
N,urtC,CK_00001366,Prochlorococcus NATL2A,PMN2A_1046,resolved,False,0,
N,urtD,CK_00001367,Prochlorococcus NATL2A,PMN2A_1045,resolved,False,0,
N,urtE,CK_00008074,Prochlorococcus NATL2A,PMN2A_1044,resolved,False,0,
N,natF,CK_00001489,Prochlorococcus NATL2A,PMN2A_0614,resolved,False,0,
N,natG,CK_00001624,Prochlorococcus NATL2A,PMN2A_0613,resolved,False,0,
N,natH,CK_00001488,Prochlorococcus NATL2A,PMN2A_0612,resolved,False,0,
P,phoA,CK_00003430,Prochlorococcus NATL2A,PMN2A_0439,resolved,True,6,
P,PMM707,CK_00003429,Prochlorococcus NATL2A,PMN2A_0438,resolved,True,6,
P,acr3/arsB,CK_00001815,Prochlorococcus NATL2A,PMN2A_0447,resolved,False,0,
P,arsR,CK_00001532,Prochlorococcus NATL2A,PMN2A_0446,resolved,False,0,
P,chrA,CK_00002826,Prochlorococcus NATL2A,PMN2A_0443,resolved,False,0,
P,gap3,CK_00008093,Prochlorococcus NATL2A,PMN2A_0445,resolved,True,6,
P,mfs,CK_00001248,Prochlorococcus NATL2A,PMN2A_0444,resolved,True,6,
P,phoB,CK_00008015,Prochlorococcus NATL2A,PMN2A_0436,resolved,True,6,
P,phoE,CK_00002330,Prochlorococcus NATL2A,PMN2A_1757,resolved,True,6,
P,phoR,CK_00001531,Prochlorococcus NATL2A,PMN2A_0437,resolved,True,6,
P,unkP1,CK_00045417,Prochlorococcus NATL2A,PMN2A_1997,resolved,True,6,
P,PMM719,CK_00044628,Prochlorococcus NATL2A,PMN2A_0585,resolved,False,0,
P,phnD,CK_00000860,Prochlorococcus NATL2A,PMN2A_0105,resolved,False,0,
P,ppA,CK_00000642,Prochlorococcus NATL2A,PMN2A_1827,resolved,True,1,
P,ppK,CK_00000383,Prochlorococcus NATL2A,PMN2A_1304,resolved,False,0,
P,ppX,CK_00000620,Prochlorococcus NATL2A,PMN2A_1789,resolved,False,0,
P,pstA,CK_00000165,Prochlorococcus NATL2A,PMN2A_0310,resolved,True,6,
P,pstB,CK_00000817,Prochlorococcus NATL2A,PMN2A_0309,resolved,True,6,
P,pstC,CK_00000818,Prochlorococcus NATL2A,PMN2A_0311,resolved,True,6,
P,pstS,CK_00043821,Prochlorococcus NATL2A,PMN2A_0441,resolved,True,7,
P,sqdB,CK_00000123,Prochlorococcus NATL2A,PMN2A_1264,resolved,False,0,
P,phnC,CK_00008048,Prochlorococcus NATL2A,PMN2A_0104,resolved,False,0,
P,phnE,CK_00000861,Prochlorococcus NATL2A,PMN2A_0103,resolved,False,0,
