n_or_p,gene_name,cyanorak_id,organism_name,locus_tag,status,n_group_members_in_strain,all_members_in_strain,has_evidence,de_row_count,note
N,amtB/amt1,CK_00000244,Prochlorococcus MED4,PMM0263,resolved,1.0,PMM0263,True,13,
N,cynA,CK_00002165,Prochlorococcus MED4,PMM0370,resolved,1.0,PMM0370,True,13,
N,cynB,CK_00002166,Prochlorococcus MED4,PMM0371,resolved,1.0,PMM0371,True,13,
N,cynD,CK_00000003,Prochlorococcus MED4,PMM0372,resolved,1.0,PMM0372,True,10,
N,cynS,CK_00001552,Prochlorococcus MED4,PMM0373,resolved,1.0,PMM0373,True,13,
N,nadB,CK_00000196,Prochlorococcus MED4,PMM0100,resolved,1.0,PMM0100,True,10,
N,thiO,CK_00000417,Prochlorococcus MED4,PMM0047,resolved,1.0,PMM0047,True,10,
N,ureA,CK_00001360,Prochlorococcus MED4,PMM0965,resolved,1.0,PMM0965,True,13,
N,ureB,CK_00001359,Prochlorococcus MED4,PMM0964,resolved,1.0,PMM0964,True,13,
N,ureC,CK_00001358,Prochlorococcus MED4,PMM0963,resolved,1.0,PMM0963,True,13,
N,ureD,CK_00001361,Prochlorococcus MED4,PMM0966,resolved,1.0,PMM0966,True,13,
N,ureE,CK_00001362,Prochlorococcus MED4,PMM0967,resolved,1.0,PMM0967,True,10,
N,ureF,CK_00001363,Prochlorococcus MED4,PMM0968,resolved,1.0,PMM0968,True,7,
N,ureG,CK_00001364,Prochlorococcus MED4,PMM0969,resolved,1.0,PMM0969,True,13,
N,ntcA,CK_00000468,Prochlorococcus MED4,PMM0246,resolved,1.0,PMM0246,True,13,
N,pipX,CK_00001044,Prochlorococcus MED4,PMM0393,resolved,1.0,PMM0393,True,10,
N,glnA,CK_00000103,Prochlorococcus MED4,PMM0920,resolved,1.0,PMM0920,True,13,
N,glsF,CK_00000134,Prochlorococcus MED4,PMM1512,resolved,1.0,PMM1512,True,13,
N,urtA,CK_00000076,Prochlorococcus MED4,PMM0970,resolved,1.0,PMM0970,True,18,
N,urtC,CK_00001366,Prochlorococcus MED4,PMM0972,resolved,1.0,PMM0972,True,10,
N,urtD,CK_00001367,Prochlorococcus MED4,PMM0973,resolved,1.0,PMM0973,True,10,
N,urtE,CK_00008074,Prochlorococcus MED4,PMM0974,resolved,1.0,PMM0974,True,13,
P,phoA,CK_00003430,Prochlorococcus MED4,PMM0708,resolved,1.0,PMM0708,True,18,
P,PMM707,CK_00003429,Prochlorococcus MED4,PMM0707,resolved,1.0,PMM0707,True,15,
P,PMM721,CK_00003437,Prochlorococcus MED4,PMM0721,resolved,1.0,PMM0721,True,15,
P,acr3/arsB,CK_00001815,Prochlorococcus MED4,PMM0716,resolved,1.0,PMM0716,True,7,
P,arsR,CK_00001532,Prochlorococcus MED4,PMM0714,resolved,1.0,PMM0714,True,9,
P,chrA,CK_00002826,Prochlorococcus MED4,PMM0711,resolved,1.0,PMM0711,True,7,
P,gap3,CK_00008093,Prochlorococcus MED4,PMM0713,resolved,1.0,PMM0713,True,15,
P,mfs,CK_00001248,Prochlorococcus MED4,PMM0712,resolved,1.0,PMM0712,True,15,
