n_or_p,gene_name_raw,organism_name,locus_tag,gene_name_in_kg,product
N,amtB/amt1,Prochlorococcus MIT9301,P9301_02861,amt1,ammonium transporter
N,amtB/amt1,Prochlorococcus MED4,PMM0263,amt1,ammonium transporter
N,amtB/amt1,Prochlorococcus MIT9312,PMT9312_0265,amt1,ammonium transporter
N,amtB/amt1,Prochlorococcus MIT9313,PMT1853,amt1,ammonium transporter
N,amtB/amt1,Prochlorococcus NATL2A,PMN2A_1629,amt1,ammonium transporter
N,cynA,Prochlorococcus MED4,PMM0370,cynA,"cyanate ABC transporter, substrate-binding protein"
N,cynB,Prochlorococcus MED4,PMM0371,cynB,"cyanate ABC transporter, permease protein"
N,cynD,Prochlorococcus MED4,PMM0372,cynD,cyanate ABC transporter ATP-binding protein
N,cynS,Prochlorococcus MED4,PMM0373,cynS,cyanate hydratase
N,cynS,Prochlorococcus NATL2A,PMN2A_1390,cynS,cyanate hydratase
N,focA,Prochlorococcus MIT9313,PMT2240,focA,"nitrite transporter, FNT family"
N,focA,Prochlorococcus NATL2A,PMN2A_1299,focA,"nitrite transporter, FNT family"
N,nadB,Prochlorococcus MED4,PMM0100,nadB,L-aspartate oxidase
N,nadB,Prochlorococcus MIT9301,P9301_01151,nadB,L-aspartate oxidase
N,nadB,Prochlorococcus MIT9312,PMT9312_0104,nadB,L-aspartate oxidase
N,nadB,Prochlorococcus MIT9313,PMT0177,nadB,L-aspartate oxidase
N,nadB,Prochlorococcus NATL2A,PMN2A_1468,nadB,L-aspartate oxidase
N,nadB2,Prochlorococcus MIT9301,P9301_12651,nadB2,L-aspartate oxidase
N,nadB2,Prochlorococcus MIT9312,PMT9312_1354,nadB2,L-aspartate oxidase
N,nirA,Prochlorococcus MIT9313,PMT2239,nirA,ferredoxin--nitrite reductase
N,nirA,Prochlorococcus NATL2A,PMN2A_1298,nirA,ferredoxin--nitrite reductase
N,nirA,Prochlorococcus NATL2A,PMN2A_RS10340,nirA,ferredoxin--nitrite reductase
N,thiO,Prochlorococcus MED4,PMM0047,thiO,glycine oxidase
N,thiO,Prochlorococcus MIT9301,P9301_00501,thiO,glycine oxidase
N,thiO,Prochlorococcus MIT9312,PMT9312_0048,thiO,glycine oxidase
N,thiO,Prochlorococcus MIT9313,PMT2140,thiO,glycine oxidase
N,thiO,Prochlorococcus NATL2A,PMN2A_1380,thiO,glycine oxidase
N,ureA,Prochlorococcus MED4,PMM0965,ureA,urease gamma subunit
N,ureA,Prochlorococcus MIT9301,P9301_08911,ureA,urease gamma subunit
N,ureA,Prochlorococcus MIT9312,PMT9312_0834,ureA,urease gamma subunit
N,ureA,Prochlorococcus MIT9313,PMT2234,ureA,urease gamma subunit
N,ureA,Prochlorococcus NATL2A,PMN2A_1053,ureA,urease gamma subunit
N,ureB,Prochlorococcus MED4,PMM0964,ureB,urease beta subunit
N,ureB,Prochlorococcus MIT9301,P9301_08921,ureB,urease beta subunit
N,ureB,Prochlorococcus MIT9312,PMT9312_0835,ureB,urease beta subunit
N,ureB,Prochlorococcus MIT9313,PMT2235,ureB,urease beta subunit
N,ureB,Prochlorococcus NATL2A,PMN2A_1054,ureB,urease beta subunit
N,ureC,Prochlorococcus MED4,PMM0963,ureC,urease alpha subunit
