n_or_p,gene_name,cyanorak_id,organism_name,cyanorak_route_locus,name_route_loci,verdict
N,amtB/amt1,CK_00000244,Prochlorococcus MED4,PMM0263,PMM0263,agree
N,amtB/amt1,CK_00000244,Prochlorococcus MIT9312,PMT9312_0265,PMT9312_0265,agree
N,amtB/amt1,CK_00000244,Prochlorococcus MIT9313,PMT1853,PMT1853,agree
N,amtB/amt1,CK_00000244,Prochlorococcus NATL2A,PMN2A_1629,PMN2A_1629,agree
N,amt2,CK_00008701,Prochlorococcus MED4,,,both_absent
N,amt2,CK_00008701,Prochlorococcus MIT9312,,,both_absent
N,amt2,CK_00008701,Prochlorococcus MIT9313,,,both_absent
N,amt2,CK_00008701,Prochlorococcus NATL2A,,,both_absent
N,cynA,CK_00002165,Prochlorococcus MED4,PMM0370,PMM0370,agree
N,cynA,CK_00002165,Prochlorococcus MIT9312,,,both_absent
N,cynA,CK_00002165,Prochlorococcus MIT9313,,,both_absent
N,cynA,CK_00002165,Prochlorococcus NATL2A,,,both_absent
N,cynB,CK_00002166,Prochlorococcus MED4,PMM0371,PMM0371,agree
N,cynB,CK_00002166,Prochlorococcus MIT9312,,,both_absent
N,cynB,CK_00002166,Prochlorococcus MIT9313,,,both_absent
N,cynB,CK_00002166,Prochlorococcus NATL2A,,,both_absent
N,cynD,CK_00000003,Prochlorococcus MED4,PMM0372,PMM0372,agree
N,cynD,CK_00000003,Prochlorococcus MIT9312,,,both_absent
N,cynD,CK_00000003,Prochlorococcus MIT9313,,,both_absent
N,cynD,CK_00000003,Prochlorococcus NATL2A,,,both_absent
N,cynS,CK_00001552,Prochlorococcus MED4,PMM0373,PMM0373,agree
N,cynS,CK_00001552,Prochlorococcus MIT9312,,,both_absent
N,cynS,CK_00001552,Prochlorococcus MIT9313,,,both_absent
N,cynS,CK_00001552,Prochlorococcus NATL2A,PMN2A_1390,PMN2A_1390,agree
N,cynH,CK_00003051,Prochlorococcus MED4,,,both_absent
N,cynH,CK_00003051,Prochlorococcus MIT9312,,,both_absent
N,cynH,CK_00003051,Prochlorococcus MIT9313,,,both_absent
N,cynH,CK_00003051,Prochlorococcus NATL2A,,,both_absent
N,cynH2,CK_00053828,Prochlorococcus MED4,,,both_absent
N,cynH2,CK_00053828,Prochlorococcus MIT9312,,,both_absent
N,cynH2,CK_00053828,Prochlorococcus MIT9313,,,both_absent
N,cynH2,CK_00053828,Prochlorococcus NATL2A,,,both_absent
N,focA,CK_00001669,Prochlorococcus MED4,,,both_absent
N,focA,CK_00001669,Prochlorococcus MIT9312,,,both_absent
N,focA,CK_00001669,Prochlorococcus MIT9313,PMT2240,PMT2240,agree
N,focA,CK_00001669,Prochlorococcus NATL2A,PMN2A_1299,PMN2A_1299,agree
N,moaA,CK_00001678,Prochlorococcus MED4,,,both_absent
N,moaA,CK_00001678,Prochlorococcus MIT9312,,,both_absent
N,moaA,CK_00001678,Prochlorococcus MIT9313,,,both_absent
N,moaA,CK_00001678,Prochlorococcus NATL2A,,,both_absent
N,moaB,CK_00001670,Prochlorococcus MED4,,,both_absent
N,moaB,CK_00001670,Prochlorococcus MIT9312,,,both_absent
N,moaB,CK_00001670,Prochlorococcus MIT9313,,,both_absent
N,moaB,CK_00001670,Prochlorococcus NATL2A,,,both_absent
N,moaC,CK_00001673,Prochlorococcus MED4,,,both_absent
N,moaC,CK_00001673,Prochlorococcus MIT9312,,,both_absent
N,moaC,CK_00001673,Prochlorococcus MIT9313,,,both_absent
N,moaC,CK_00001673,Prochlorococcus NATL2A,,,both_absent
N,moaD,CK_00001749,Prochlorococcus MED4,,,both_absent
N,moaD,CK_00001749,Prochlorococcus MIT9312,,,both_absent
N,moaD,CK_00001749,Prochlorococcus MIT9313,,,both_absent
N,moaD,CK_00001749,Prochlorococcus NATL2A,,,both_absent
N,moaE,CK_00001671,Prochlorococcus MED4,,,both_absent
N,moaE,CK_00001671,Prochlorococcus MIT9312,,,both_absent
N,moaE,CK_00001671,Prochlorococcus MIT9313,,,both_absent
